id,topicid,question,optionA,optionB,optionC,optionD,answer,image,explanation,difficulty,walkthrough_tag
202-1,2,How do you modify the independent and dependent sources to prepare the circuit for finding $R_{th}$?,Set independent current source to zero (open circuit) and leave the dependent voltage source alone.,Leave independent current source alone and set dependent voltage source to zero.,Set independent current source to zero (short circuit) and remove the dependent voltage source.,Set independent current source to zero and deactivate the dependent voltage source.,optionA,https://raw.githubusercontent.com/jlohix/Duolingo-for-CA/main/question-bank/thevenin/thq1.png,"To find $R_{th}$ in a circuit with independent and dependent sources, we turn off all independent sources (independent current source = 0 $\implies$ open circuit) while leaving dependent sources active.",2,walk-lab-thevenin
202-2,2,How do you connect a test source at terminals a-b to find $R_{th}$?,Connect a short circuit between a and b.,Connect a test voltage source of $v_o = 1\text{ V}$ with current $i_s$ entering terminal a.,Connect a test resistor of $1\Omega$ across a-b.,Connect a test current source of $1\text{ A}$ from b to a.,optionB,https://raw.githubusercontent.com/jlohix/Duolingo-for-CA/main/question-bank/thevenin/thq1.png,We excite the circuit by connecting a test voltage source $v_o = 1\text{ V}$ across terminals a-b with test current $i_s$ entering terminal a.,2,walk-lab-thevenin
202-3,2,Write the mesh equations for the circuit with the test source to find $i_o$ (or $i_s$). Which of the following correctly describes Mesh 1?,$2i_1 + 6(i_1 - i_3) = 0$,$v_x + i_1 = 0$,$4i_1 + 2(i_1 - i_2) = 0$,$-2v_x + 2(i_1 - i_2) = 0$,optionD,https://raw.githubusercontent.com/jlohix/Duolingo-for-CA/main/question-bank/thevenin/thq1.png,Applying mesh analysis to mesh 1 containing the dependent voltage source $2v_x$ yields $-2v_x + 2(i_1 - i_2) = 0$.,2,walk-lab-thevenin
202-4,2,How to find $R_{th}$ using the test source method?,$R_{th} = \frac{v_o}{i_o}$ (where $i_o = i_s$),$R_{th} = \frac{V_{oc}}{I_{sc}}$,$R_{th} = \frac{i_s}{v_o}$,$R_{th} = v_o \times i_s$,optionA,https://raw.githubusercontent.com/jlohix/Duolingo-for-CA/main/question-bank/thevenin/thq1.png,"By definition, the Thévenin resistance using a test voltage source $v_o$ is given by $R_{th} = \frac{v_o}{i_o}$ where $i_o$ is the current entering the test source. Final Rth = 6 ohms",2,walk-lab-thevenin
202-5,2,How do you modify the circuit for finding $V_{th}$? What is $V_{th}$ equal to?,Deactivate all sources; Vth = 0V,Short terminals a-b; Vth = Voltage across wire ab,Connect a $1\text{ A}$ source at a-b; $V_{th} = 5\text{ V}$,Open terminals a-b; Vth = Voc,optionD,https://raw.githubusercontent.com/jlohix/Duolingo-for-CA/main/question-bank/thevenin/thq1.png,"To find $V_{th}$, we leave terminals a-b open-circuited ($v_{oc}$), and from the mesh analysis, Vth = Voc",2,walk-lab-thevenin
202-6,2,What current do you need to find $V_{th}$?,Current across $2\Omega$ = 5A,Current across $2\Omega$ = 3A,Current across $6\Omega$ = 5A,Current across $6\Omega$ = 10/3 A,optionD,https://raw.githubusercontent.com/jlohix/Duolingo-for-CA/main/question-bank/thevenin/thq1.png,"Solving the mesh equations for the open-circuit circuit gives $i  = \frac{10}{3}\text{ A}$, which is needed to calculate $V_{th} = 6i. Where i is the current across 6 ohm resistor",2,walk-lab-thevenin
202-7,2,What is the final answer for $V_{th}$?,$30\text{ V}$,$20\text{ V}$,$15\text{ V}$,$10\text{ V}$,optionB,https://raw.githubusercontent.com/jlohix/Duolingo-for-CA/main/question-bank/thevenin/thq1.png,"Using $V_{th} = 6i_2$ and $i_2 = \frac{10}{3}\text{ A}$, we get $V_{th} = 6 \times \frac{10}{3} = 20\text{ V}$.",2,walk-lab-thevenin
203-1,2,What does the Thevenin equivalent voltage represent at terminals a-b in an open-circuit condition?,The voltage drop across the $3\ \Omega$ resistor only,The short-circuit current across terminals $a-b$,The open-circuit voltage $V_{Th} = V_{ab} = V_a - V_b$,The total voltage supplied by the independent voltage source,optionC,https://raw.githubusercontent.com/jlohix/Duolingo-for-CA/main/question-bank/thevenin/thq2.png,"The Thevenin equivalent voltage ($V_{Th}$) is defined as the open-circuit voltage measured across the load terminals $a$ and $b$, which can be expressed as $V_{Th} = V_{ab} = V_a - V_b$.",1,walk-lab-thevenin
203-2,2,Define the reference node voltage and identify the node voltage at terminal a relative to it.,"Set reference node $a = 12\text{ V}$, leaving terminal $b$ at node voltage $V_b$",Set reference node at the top of the $12\text{ V}$ source,"Set reference node $b = 0\text{ V}$, leaving terminal $a$ at node voltage $V_a$",Set reference node at the center of the $1\text{ A}$ current source,optionC,https://raw.githubusercontent.com/jlohix/Duolingo-for-CA/main/question-bank/thevenin/thq2.png,"By choosing the bottom wire containing terminal $b$ as the reference node ($V_b = 0\text{ V}$), the potential at terminal $a$ is represented simply by the node voltage $V_a$.",1,walk-lab-thevenin
203-3,2,Apply Kirchhoff's Current Law (KCL) at node a to set up the nodal equation.,$\frac{V_a}{3} + \frac{V_a}{6} = 1$,$\frac{V_a}{3} + \frac{V_a - 12}{6} = 1$,$\frac{V_a - 12}{3} + \frac{V_a}{6} = -1$,$\frac{V_a - 12}{3} + \frac{V_a}{6} = 1$,optionD,https://raw.githubusercontent.com/jlohix/Duolingo-for-CA/main/question-bank/thevenin/thq2.png,"Applying KCL at node $a$, the sum of currents leaving the node equals zero (or sum of currents leaving equals sum of entering currents). The current leaving through the $3\ \Omega$ resistor is $\frac{V_a - 12}{3}$, the current leaving through the $6\ \Omega$ resistor is $\frac{V_a}{6}$, and the current entering from the current source is $1\text{ A}$. Thus, $\frac{V_a - 12}{3} + \frac{V_a}{6} = 1$.",1,walk-lab-thevenin
