id,topicid,question,optionA,optionB,optionC,optionD,answer,image,explanation,difficulty,walkthrough_tag
201-1,2,"To determine the Norton resistance $R_N$, how must the independent sources in the circuit be modified?",Remove all independent sources and replace them with their internal resistances.,Replace all current sources with short circuits and all voltage sources with open circuits.,Replace all current sources with open circuits and all voltage sources with short circuits.,Keep sources active but set their values to zero.,optionC,https://raw.githubusercontent.com/jlohix/Duolingo-for-CA/main/question-bank/norton/ntq1.png,"By definition, the Norton resistance is equivalent to the Thevenin resistance. To find this, independent current sources are replaced with open circuits (0 A) and independent voltage sources are replaced with short circuits (0 V).",2,custom
201-2,2,"After deactivating the independent sources, what is the equivalent resistance $R_N$ seen from terminals a-b?",4 $\Omega$,8 $\Omega$,20 $\Omega$,2 $\Omega$,optionA,https://raw.githubusercontent.com/jlohix/Duolingo-for-CA/main/question-bank/norton/ntq1.png,"With the 2A source open and 12V source shorted, we see the $5 \Omega$ resistor in parallel with the series combination of $8 \Omega + 4 \Omega + 8 \Omega$. Thus, $R_N = 5 || (8+4+8) = 5 || 20 = (5 \times 20) / 25 = 4 \Omega$.",2,custom
201-3,2,"How do you modify the original circuit to solve for the Norton short-circuit current, $I_N$?",Place a short circuit across terminals a-b.,Remove the $5 \Omega$ resistor and leave terminals a-b open.,Place an open circuit across terminals a-b.,Connect a load resistor $R_L$ across terminals a-b.,optionA,https://raw.githubusercontent.com/jlohix/Duolingo-for-CA/main/question-bank/norton/ntq1.png,The Norton current $I_N$ is defined as the current flowing through a short circuit connected across the terminals a-b.,2,custom
201-4,2,"Given the short circuit across terminals a-b, which mesh equation describes the second loop correctly?",$-12 + 4(i_2 - i_1) + 5i_2 = 0$,$-12 + 4(i_2 - i_1) + (8 + 8)i_2 = 0$,$12 + 4(i_2 - i_1) + 8i_2 = 0$,$-12 + 4(i_2 - i_1) + 8i_2 = 0$,optionB,https://raw.githubusercontent.com/jlohix/Duolingo-for-CA/main/question-bank/norton/ntq1.1.png,"With a short across a-b, the $5 \Omega$ resistor is bypassed. Mesh 2 traverses the $4 \Omega$ resistor, the voltage source, and the two $8 \Omega$ resistors. The equation is $-12 + 4(i_2 - i_1) + 8i_2 + 8i_2 = 0$, simplified to $-12 + 4(i_2 - i_1) + 16i_2 = 0$.",2,custom
201-5,2,What is the final configuration of the Norton equivalent circuit?,A $2 \text{ A}$ current source in series with a $4 \Omega$ resistor.,A $1 \text{ A}$ current source in parallel with a $4 \Omega$ resistor.,A $4 \text{ A}$ current source in parallel with a $1 \Omega$ resistor.,A $1 \text{ A}$ current source in series with a $4 \Omega$ resistor.,optionB,https://raw.githubusercontent.com/jlohix/Duolingo-for-CA/main/question-bank/norton/ntq1.1.png,"From the calculated values $I_N = 1 \text{ A}$ and $R_N = 4 \Omega$, the Norton equivalent consists of a current source of $1 \text{ A}$ in parallel with a resistor of $4 \Omega$.",2,custom
202-1,2,"To find the Norton resistance for the given circuit, which resistor must be treated as the load and removed?","$3 \,\Omega$ resistor","$6 \,\Omega$ resistor","$10 \,\Omega$ resistor","$5 \,\Omega$ resistor",optionD,https://raw.githubusercontent.com/jlohix/Duolingo-for-CA/main/question-bank/norton/ntq2.png,"The problem states that the Norton resistance is calculated with respect to the load. According to the problem description, $5 \,\Omega$ is identified as the load resistance, so it must be removed to find the Norton equivalent resistance at terminals A and B.",1,custom
202-2,2,How should the independent voltage and current sources be modified to calculate the equivalent Norton resistance?,"Short the voltage source, open the current source","Short the voltage source, short the current source","Open the voltage source, open the current source","Open the voltage source, short the current source",optionA,https://raw.githubusercontent.com/jlohix/Duolingo-for-CA/main/question-bank/norton/ntq2.png,"To calculate the Thevenin/Norton resistance, we turn off all independent sources: voltage sources are replaced by a short circuit (wire), and current sources are replaced by an open circuit.",1,custom
202-3,2,"After removing the load and modifying the sources, what is the configuration of the remaining $3 \,\Omega$ and $6 \,\Omega$ resistors?",They are in parallel,They are in series,They are not connected,"The $6 \,\Omega$ resistor is bypassed",optionA,https://raw.githubusercontent.com/jlohix/Duolingo-for-CA/main/question-bank/norton/ntq2.png,"After shorting the $10V$ source, the $3 \,\Omega$ resistor is connected in parallel with the $6 \,\Omega$ resistor between the top node and the reference ground node.",1,custom
202-4,2,Calculate the final Norton resistance ($R_N$) at terminals A and B.,"$12 \,\Omega$","$2 \,\Omega$","$15 \,\Omega$","$10 \,\Omega$",optionA,https://raw.githubusercontent.com/jlohix/Duolingo-for-CA/main/question-bank/norton/ntq2.png,"With the sources deactivated, we have a $3 \,\Omega$ resistor in parallel with a $6 \,\Omega$ resistor, and this combination is in series with the $10 \,\Omega$ resistor. First, $R_p = (3 \times 6) / (3 + 6) = 18 / 9 = 2 \,\Omega$. Then, $R_N = R_p + 10 \,\Omega = 2 + 10 = 12 \,\Omega$.",1,custom
203-1,2,"Looking at the provided circuit diagram, what is the load resistance ($R_L$) and what are the terminals across which the Norton equivalent is sought?","$3\,\Omega$ resistor, between terminals A and B","$5\,\Omega$ resistor, between terminals A and B","$10\,\Omega$ resistor, between terminals A and B","$6\,\Omega$ resistor, between terminals A and B",optionB,https://raw.githubusercontent.com/jlohix/Duolingo-for-CA/main/question-bank/norton/ntq3.png,"Norton's theorem is used to find the current in a specific load. Here, the current in the $5\,\Omega$ resistor is required, so it is removed to leave terminals A and B open for the Norton equivalent circuit calculation.",1,custom
