"id","topicid","question","optionA","optionB","optionC","optionD","answer","image","explanation","difficulty","walkthrough_tag"
"201-1","2","What circuit concept can we apply to analyze this op-amp configuration?","Superposition","Thevenin","Parallel resistors","Norton","optionA","https://raw.githubusercontent.com/jlohix/Duolingo-for-CA/main/question-bank/opamp/opq1.png","Since the circuit contains multiple independent input voltage sources, we can apply the \textbf{superposition principle}.","1",""
"201-2","2","Is this an inverting or non-inverting amplifier?","Neither","Non-inverting","Inverting","Both","optionC","https://raw.githubusercontent.com/jlohix/Duolingo-for-CA/main/question-bank/opamp/opq1.png","Since the input signals are applied to the inverting (-) terminal through input resistors, the circuit acts as an inverting amplifier.","3","inverting"
"201-3","2","What is the general gain formula for the voltage due to an input $v_{in}$ with resistor $R_{in}$ in an inverting amplifier?","Gain = $R_{in} / R_f$","Gain = $R_f / R_{in}$","Gain = $-R_f / R_{in}$","Gain = $-R_{in} / R_f$","optionC","https://raw.githubusercontent.com/jlohix/Duolingo-for-CA/main/question-bank/opamp/opq1.png","For an inverting configuration with multiple inputs, the contribution of each input is $- (R_f / R_{in,n}) \cdot v_{in,n}$.","3","inverting"
"201-4","2","What is the output voltage contribution due to $v_{i1}$? Given $R_f = 12\text{k}\Omega$ and $R_1 = 8.2\text{k}\Omega$.","$-1.2 \cdot v_{i1}$","$-0.44 \cdot v_{i1}$","$-1.46 \cdot v_{i1}$","$-0.68 \cdot v_{i1}$","optionC","https://raw.githubusercontent.com/jlohix/Duolingo-for-CA/main/question-bank/opamp/opq1.png","Contribution = $-(R_f / R_1) \cdot v_{i1} = -(12 / 8.2) \cdot v_{i1} \approx -1.463 \cdot v_{i1}$.","3","inverting"
"201-5","2","What is the output voltage contribution due to $v_{i2}$? Given $R_f = 12\text{k}\Omega$ and $R_2 = 27\text{k}\Omega$.","$-0.5 \cdot v_{i2}$","$-2.25 \cdot v_{i2}$","$-0.22 \cdot v_{i2}$","$-0.444 \cdot v_{i2}$","optionD","https://raw.githubusercontent.com/jlohix/Duolingo-for-CA/main/question-bank/opamp/opq1.png","Contribution = $-(R_f / R_2) \cdot v_{i2} = -(12 / 27) \cdot v_{i2} \approx -0.444 \cdot v_{i2}$.","3","inverting"
"201-6","2","What is the output voltage contribution due to $v_{i3}$? Given $R_f = 12\text{k}\Omega$ and $R_3 = 10\text{k}\Omega$.","$-1.2 \cdot v_{i3}$","$-1.0 \cdot v_{i3}$","$-1.5 \cdot v_{i3}$","$-0.83 \cdot v_{i3}$","optionA","https://raw.githubusercontent.com/jlohix/Duolingo-for-CA/main/question-bank/opamp/opq1.png","Contribution = $-(R_f / R_3) \cdot v_{i3} = -(12 / 10) \cdot v_{i3} = -1.2 \cdot v_{i3}$.","3","inverting"
"201-7","2","Combining all inputs, what is the final expression for $v_o$?","$v_o = -0.68 \cdot v_{i1} - 2.25 \cdot v_{i2} - 0.83 \cdot v_{i3}$","$v_o = -1.46 \cdot v_{i1} + 0.444 \cdot v_{i2} - 1.2 \cdot v_{i3}$","$v_o = -1.46 \cdot v_{i1} - 0.444 \cdot v_{i2} - 1.2 \cdot v_{i3}$","$v_o = 1.46 \cdot v_{i1} + 0.444 \cdot v_{i2} + 1.2 \cdot v_{i3}$","optionC","https://raw.githubusercontent.com/jlohix/Duolingo-for-CA/main/question-bank/opamp/opq1.png","The output of a summing amplifier is the sum of the individual contributions: $v_o = -(R_f/R_1)v_{i1} - (R_f/R_2)v_{i2} - (R_f/R_3)v_{i3} = -1.46 v_{i1} - 0.444 v_{i2} - 1.2 v_{i3}$.","3","inverting"
"202-1","2","For an ideal op-amp in negative feedback configuration, what is the voltage at the inverting input terminal ($v_-$)?","$0 V$","$-60 V$","$60 V$","$-50 mV$","optionA","https://raw.githubusercontent.com/jlohix/Duolingo-for-CA/main/question-bank/opamp/opq2.png","Because the non-inverting terminal is connected directly to ground ($0 V$) and the op-amp has very high open-loop gain, the virtual ground concept dictates that the voltage at the inverting input terminal is forced to be equal to the non-inverting terminal voltage, which is $0 V$.","2","inverting"
"202-2","2","Apply KCL at the inverting input node. Assuming the currents leaving the node equal zero, which equation represents the summation of currents?","$\frac{v_--v_{i1}}{R_1} + \frac{v_--v_{i2}}{R_2} = \frac{v_o - v_-}{R_f}$","$\frac{v_--v_{i1}}{R_1} + \frac{v_--v_{i2}}{R_2} + \frac{v_--v_o}{R_f} = 0$","$\frac{v_{i1}-v_-}{R_1} + \frac{v_{i2}-v_-}{R_2} = \frac{v_- - v_o}{R_f}$","$\frac{v_{i1}}{R_1} + \frac{v_{i2}}{R_2} + \frac{v_o}{R_f} = 0$","optionB","https://raw.githubusercontent.com/jlohix/Duolingo-for-CA/main/question-bank/opamp/opq2.png","KCL states that the sum of currents leaving a node is zero. At the inverting node ($v_-$), the currents through $R_1$, $R_2$, and $R_f$ are given by $\frac{v_- - v_{i1}}{R_1}$, $\frac{v_- - v_{i2}}{R_2}$, and $\frac{v_- - v_o}{R_f}$ respectively. Setting their sum to zero gives the correct nodal equation.","2","inverting"
"202-3","2","Using the fact that $v_- = 0 V$, simplify the nodal equation for $v_o$.","$-\frac{v_{i1}}{R_1} - \frac{v_{i2}}{R_2} - \frac{v_o}{R_f} = 0$","$\frac{v_{i1}}{R_1} + \frac{v_{i2}}{R_2} = -\frac{v_o}{R_f}$","$\frac{v_{i1}}{R_1} + \frac{v_{i2}}{R_2} + \frac{v_o}{R_f} = 0$","$\frac{v_{i1}}{R_1} + \frac{v_{i2}}{R_2} = 0$","optionA","https://raw.githubusercontent.com/jlohix/Duolingo-for-CA/main/question-bank/opamp/opq2.png","Substituting $v_- = 0$ into the equation $\frac{v_- - v_{i1}}{R_1} + \frac{v_- - v_{i2}}{R_2} + \frac{v_- - v_o}{R_f} = 0$, we get $\frac{-v_{i1}}{R_1} + \frac{-v_{i2}}{R_2} + \frac{-v_o}{R_f} = 0$, which simplifies to $-\frac{v_{i1}}{R_1} - \frac{v_{i2}}{R_2} - \frac{v_o}{R_f} = 0$.","2","inverting"
