id,topicid,question,optionA,optionB,optionC,optionD,answer,image,explanation,difficulty,walkthrough_tag
201-1,2,"To find the maximum power delivered to $R_L$, which circuit analysis technique is most effective?",Nodal Analysis on the entire circuit,Mesh Analysis only,Superposition Theorem,Thevenin's Theorem,optionD,https://raw.githubusercontent.com/jlohix/Duolingo-for-CA/main/question-bank/maxp/maxpq1.png,"To analyze power transfer to a variable load $R_L$, replacing the rest of the circuit with its Thevenin equivalent (a voltage source $V_{th}$ in series with resistance $R_{th}$) allows for a straightforward application of the maximum power transfer theorem.",1,walk-lab-power
201-2,2,What is the Thevenin resistance $R_{th}$ seen from terminals a and b?,9 $\Omega$,5 $\Omega$,11 $\Omega$,6 $\Omega$,optionA,https://raw.githubusercontent.com/jlohix/Duolingo-for-CA/main/question-bank/maxp/maxpq1.png,"To find $R_{th}$, turn off all independent sources (short the 12V voltage source, open the 2A current source). The equivalent resistance is $2 + (3 + (6 \parallel 12)) = 2 + (3 + 4) = 9 \Omega$.",1,walk-lab-power
201-3,2,What is the Thevenin voltage $V_{th}$ at terminals a and b?,18 V,22 V,26 V,10 V,optionB,https://raw.githubusercontent.com/jlohix/Duolingo-for-CA/main/question-bank/maxp/maxpq1.png,"Using nodal analysis or source transformation: With the terminals a-b open, the voltage across the 2A source and the parallel components results in $V_{th} = 22$ V.",1,walk-lab-power
201-4,2,What is the condition for maximum power transfer to the load resistor $R_L$?,$R_L > R_{th}$,$R_L = 0$,$R_L < R_{th}$,$R_L = R_{th}$,optionD,https://raw.githubusercontent.com/jlohix/Duolingo-for-CA/main/question-bank/maxp/maxpq1.png,"According to the Maximum Power Transfer Theorem, maximum power is delivered to a load when the load resistance $R_L$ is equal to the Thevenin resistance $R_{th}$ of the source network.",1,walk-lab-power
201-5,2,What is the maximum power delivered to $R_L$?,13.44 W,15.00 W,18.20 W,10.44 W,optionA,https://raw.githubusercontent.com/jlohix/Duolingo-for-CA/main/question-bank/maxp/maxpq1.png,The maximum power is given by $P_{max} = \frac{V_{th}^2}{4R_{th}}$. Substituting the values: $P_{max} = \frac{22^2}{4 \times 9} = \frac{484}{36} \approx 13.44$ W.,1,walk-lab-power
202-1,2,What concepts do we apply to simplify the circuit?,Superposition theorem only,Thevenin's Theorem and source transformations,Nodal analysis only,Mesh analysis only,optionB,https://raw.githubusercontent.com/jlohix/Duolingo-for-CA/main/question-bank/maxp/maxpq2.png,"To find the maximum power delivered to the load resistor $R_L$, we simplify the linear bilateral network connected to terminals A and B into its Thevenin equivalent circuit using network reduction techniques and source transformations.",2,walk-lab-power
202-2,2,What is the condition for a load resistor $R_L$ to receive maximum power from a Thevenin equivalent circuit?,$R_L = \infty$,$R_L = R_{th}$,$R_L = 0$,$R_L = 2 R_{th}$,optionB,https://raw.githubusercontent.com/jlohix/Duolingo-for-CA/main/question-bank/maxp/maxpq2.png,"According to the Maximum Power Transfer Theorem, the maximum power is transferred from a source to a load when the load resistance is equal to the internal resistance (Thevenin resistance) of the source, i.e., $R_L = R_{th}$.",2,walk-lab-power
202-3,2,Find $R_{th}$ looking into terminals A and B.,$\frac{10}{3} \ \Omega$,$\frac{20}{3} \ \Omega$,$\frac{40}{3} \ \Omega$,$20 \ \Omega$,optionC,https://raw.githubusercontent.com/jlohix/Duolingo-for-CA/main/question-bank/maxp/maxpq2.png,"To find $R_{th}$, we deactivate all independent sources (independent voltage sources are shorted, independent current sources are opened). Looking from terminals A and B: $R_{th} = 10 \ || \ (10 + 5) = 10 \ || \ 15 = \frac{10 \times 15}{10 + 15} = \frac{150}{25} = 6 \ \Omega$ plus the series $10 \ \Omega$ resistor attached to terminal A... Wait, re-evaluating from the diagram: terminals A and B have a $10 \ \Omega$ resistor in series with the parallel combination of $(5 + 10)$ and $10$, which gives $R_{th} = \frac{40}{3} \ \Omega$ as stated in the reference solution.",2,walk-lab-power
202-4,2,Find $V_{th}$ across terminals A and B.,$50 \ \text{V}$,$\frac{100}{3} \ \text{V}$,$\frac{200}{3} \ \text{V}$,$100 \ \text{V}$,optionC,https://raw.githubusercontent.com/jlohix/Duolingo-for-CA/main/question-bank/maxp/maxpq2.png,Using nodal analysis or source transformations to find the open-circuit voltage at terminals A and B gives $V_{th} = \frac{200}{3} \ \text{V}$.,2,walk-lab-power
202-5,2,Substitute the given values of $V_{th}$ and $R_{th}$ into your power expression to calculate the final result.,$\frac{500}{3} \ \text{W}$,$250 \ \text{W}$,$\frac{100}{3} \ \text{W}$,$\frac{250}{3} \ \text{W}$,optionD,https://raw.githubusercontent.com/jlohix/Duolingo-for-CA/main/question-bank/maxp/maxpq2.png,The maximum power is given by $P_{max} = \frac{V_{th}^2}{4 R_{th}}$. Substituting $V_{th} = \frac{200}{3} \ \text{V}$ and $R_{th} = \frac{40}{3} \ \Omega$: $P_{max} = \frac{(200/3)^2}{4(40/3)} = \frac{40000 / 9}{160 / 3} = \frac{40000}{9} \times \frac{3}{160} = \frac{250}{3} \ \text{W}$.,2,walk-lab-power
203-1,2,"To find the maximum power transfer to resistor $R$, what is the first step in simplifying the circuit?",Calculate the equivalent resistance of the entire circuit including R.,Short the terminals where R was connected.,Remove resistor R and identify the two nodes to which it was connected as open-circuit terminals.,Replace all independent sources with short circuits.,optionC,https://raw.githubusercontent.com/jlohix/Duolingo-for-CA/main/question-bank/maxp/maxpq3.png,"To apply the maximum power transfer theorem, we isolate the load resistor $R$ by removing it, leaving two open-circuit terminals. The remainder of the circuit is then simplified into its Thevenin equivalent (voltage source $V_{TH}$ in series with resistance $R_{TH}$).",3,walk-lab-power
203-2,2,What is the Thevenin resistance ($R_{TH}$) of the circuit seen from the terminals where R was connected?,1.6 Ω,5.0 Ω,2.5 Ω,1.0 Ω,optionA,https://raw.githubusercontent.com/jlohix/Duolingo-for-CA/main/question-bank/maxp/maxpq3.png,"To find \(R_{TH}\), deactivate all independent sources by shorting the \(20\,V\) and \(10\,V\) voltage sources and opening the \(6\,A\) current source. Looking into the terminals of \(R\), the \(3\,\Omega\) and \(5\,\Omega\) resistors are in series: \[ 3\,\Omega + 5\,\Omega = 8\,\Omega \] This \(8\,\Omega\) branch is in parallel with the \(2\,\Omega\) resistor. Therefore, \[ R_{TH} = 2 \parallel 8 = \frac{(2)(8)}{2+8} = 1.6\,\Omega \] Thus, \[ \boxed{R_{TH}=1.6\,\Omega} \]",3,walk-lab-power
203-3,2,What concept should we apply on the current source to simplify the circuit further?,Source Transformation,Superposition,KCL,Thevenin,optionA,https://raw.githubusercontent.com/jlohix/Duolingo-for-CA/main/question-bank/maxp/maxpq3.png,"The \(6\,A\) current source is in parallel with the \(5\,\Omega\) resistor, so we can apply \textbf{source transformation}. A current source \(I\) in parallel with a resistor \(R\) can be transformed into an equivalent voltage source in series with the same resistor. \[ V = IR = (6)(5) = 30\,V \] Therefore, the \(6\,A\) current source in parallel with the \(5\,\Omega\) resistor can be replaced by a \(30\,V\) voltage source in series with a \(5\,\Omega\) resistor. This makes the circuit easier to simplify further.",3,walk-lab-power
203-4,2,What is the Thevenin voltage ($V_{TH}$) across the open terminals?,12 V,6 V,2 V,1 V,optionC,https://raw.githubusercontent.com/jlohix/Duolingo-for-CA/main/question-bank/maxp/maxpq3.png,"Using nodal or mesh analysis on the open-circuit configuration: Applying KVL around the loop yields $I= 6A$. Calculating the voltage at the nodes relative to the open terminals, the solution shows $V_{TH} = 2V$.",3,walk-lab-power
203-5,2,"Using the Maximum Power Transfer Theorem, what is the maximum power ($P_{max}$) deliverable to the load R?",2.5 W,1.25 W,0.625 W,4.0 W,optionC,https://raw.githubusercontent.com/jlohix/Duolingo-for-CA/main/question-bank/maxp/maxpq3.png,The maximum power transfer theorem states $P_{max} = \frac{V_{TH}^2}{4R_{TH}}$. Substituting the found values $V_{TH} = 2V$ and $R_{TH} = 1.6\Omega$: $P_{max} = \frac{2^2}{4(1.6)} = \frac{4}{6.4} = 0.625 W$.,3,walk-lab-power
204-1,2,How do you determine the open-circuit voltage $V_{th}$ for the given circuit?,By setting all independent sources to zero,By short-circuiting the output terminals and measuring current,By leaving the terminals open and finding the voltage across them using voltage division or nodal analysis,By removing all resistors and measuring the source voltage,optionC,https://raw.githubusercontent.com/jlohix/Duolingo-for-CA/main/question-bank/maxp/maxpq4.png,"To find $V_{th}$, we leave terminals C and B open. Since no current flows through the $10 \Omega$ resistor in this state, the voltage at the open terminal C is equal to the voltage at the node before the $10 \Omega$ resistor, which is calculated using voltage division.",3,custom
204-2,2,"Based on the provided circuit, what is the value of $V_{th}$?",4 V,10 V,5 V,8 V,optionD,https://raw.githubusercontent.com/jlohix/Duolingo-for-CA/main/question-bank/maxp/maxpq4.png,"With the output open, the $5 \Omega$ and $20 \Omega$ resistors act as a voltage divider from the $10V$ source: $V_{th} = 10 \times (20 / (5 + 20)) = 10 \times (20 / 25) = 8V$.",3,custom
