id,topicid,question,optionA,optionB,optionC,optionD,answer,image,explanation,difficulty,walkthrough_tag
201-1,2,Identify the source transformations needed to convert series voltage-resistor pairs into parallel current sources.,"$I_{1} = \frac{20\, \Omega}{120\text{ V}} = 0.167\text{ A}$ and $I_{2} = \frac{5\, \Omega}{60\text{ V}} = 0.083\text{ A}$","$I_{1} = \frac{120\text{ V}}{20\, \Omega} = 6\text{ A}$ (downward) and $I_{2} = \frac{60\text{ V}}{5\, \Omega} = 12\text{ A}$ (upward)","$I_{1} = 120\text{ V} \times 20\, \Omega = 2400\text{ A}$ and $I_{2} = 60\text{ V} \times 5\, \Omega = 300\text{ A}$","$I_{1} = \frac{120\text{ V}}{20\, \Omega} = 6\text{ A}$ (upward) and $I_{2} = \frac{60\text{ V}}{5\, \Omega} = 12\text{ A}$ (downward)",optionD,https://raw.githubusercontent.com/jlohix/Duolingo-for-CA/main/question-bank/st/st1.png,"Using source transformation, a voltage source in series with a resistor can be converted to a current source in parallel with the same resistor. For branch 1: $I_{1} = \frac{120\text{ V}}{20\, \Omega} = 6\text{ A}$ directed upwards. For branch 2: $I_{2} = \frac{60\text{ V}}{5\, \Omega} = 12\text{ A}$ directed downwards based on the polarity of $V_{S2}$.",2,custom
201-2,2,"Calculate the equivalent parallel resistance $R_{eq}$ by combining all parallel resistors ($R_1$, $R_2$, and $R_3$).","$R_{eq} = 6.8\, \Omega$","$R_{eq} = 1.05\, \Omega$","$R_{eq} = 31\, \Omega$","$R_{eq} = 2.4\, \Omega$",optionD,https://raw.githubusercontent.com/jlohix/Duolingo-for-CA/main/question-bank/st/st1.png,"The resistors $R_1 = 20\, \Omega$, $R_2 = 5\, \Omega$, and $R_3 = 6\, \Omega$ are all in parallel. Thus, $R_{eq} = 20\, \Omega \parallel 5\, \Omega \parallel 6\, \Omega = \left(\frac{1}{20} + \frac{1}{5} + \frac{1}{6}\right)^{-1} = 2.4\, \Omega$.",2,custom
201-3,2,Calculate the equivalent parallel current $I_{eq}$ by combining the converted and existing current sources.,$I_{eq} = 6\text{ A} - 12\text{ A} + 36\text{ A} = 30\text{ A}$,$I_{eq} = 6\text{ A} + 12\text{ A} - 36\text{ A} = -18\text{ A}$,$I_{eq} = 6\text{ A} + 12\text{ A} + 36\text{ A} = 54\text{ A}$,$I_{eq} = -6\text{ A} + 12\text{ A} + 36\text{ A} = 42\text{ A}$,optionA,https://raw.githubusercontent.com/jlohix/Duolingo-for-CA/main/question-bank/st/st1.png,"Summing the parallel current sources taking their directions into account (upward as positive, downward as negative): $I_{eq} = 6\text{ A (up)} - 12\text{ A (down)} + 36\text{ A (up)} = 30\text{ A}$.",2,custom
201-4,2,Perform a source transformation on the parallel combination of $I_{eq}$ and $R_{eq}$ to obtain a single series voltage source $V_{eq}$ and resistance.,"$V_{eq} = 30\text{ A} \times 6\, \Omega = 180\text{ V}$ in series with $6\, \Omega$","$V_{eq} = 30\text{ A} \times 2.4\, \Omega = 72\text{ V}$ in series with $2.4\, \Omega$","$V_{eq} = 54\text{ A} \times 2.4\, \Omega = 129.6\text{ V}$ in series with $2.4\, \Omega$","$V_{eq} = \frac{30\text{ A}}{2.4\, \Omega} = 12.5\text{ V}$ in series with $2.4\, \Omega$",optionB,https://raw.githubusercontent.com/jlohix/Duolingo-for-CA/main/question-bank/st/st1.png,"Using source transformation, the parallel combination of $I_{eq} = 30\text{ A}$ and $R_{eq} = 2.4\, \Omega$ converts to a series voltage source $V_{eq} = I_{eq} \times R_{eq} = 30\text{ A} \times 2.4\, \Omega = 72\text{ V}$ in series with $R_{eq} = 2.4\, \Omega$.",2,custom
201-5,2,Apply the voltage divider rule to find the final voltage $v_{R5}$ across resistor $R_5$.,"$v_{R5} = \frac{8\, \Omega}{1.6\, \Omega + 8\, \Omega} \times 72\text{ V} = 60\text{ V}$","$v_{R5} = \frac{8\, \Omega}{2.4\, \Omega + 1.6\, \Omega + 8\, \Omega} \times 72\text{ V} = 48\text{ V}$","$v_{R5} = \frac{1.6\, \Omega}{2.4\, \Omega + 1.6\, \Omega + 8\, \Omega} \times 72\text{ V} = 9.6\text{ V}$","$v_{R5} = \frac{2.4\, \Omega}{2.4\, \Omega + 1.6\, \Omega + 8\, \Omega} \times 72\text{ V} = 14.4\text{ V}$",optionB,https://raw.githubusercontent.com/jlohix/Duolingo-for-CA/main/question-bank/st/st1.png,"With the series circuit containing $V_{eq} = 72\text{ V}$, $R_{eq} = 2.4\, \Omega$, $R_4 = 1.6\, \Omega$, and $R_5 = 8\, \Omega$, the voltage divider formula gives: $v_{R5} = \frac{R_5}{R_{eq} + R_4 + R_5} V_{eq} = \frac{8\, \Omega}{2.4\, \Omega + 1.6\, \Omega + 8\, \Omega} \times 72\text{ V} = \frac{8}{12} \times 72\text{ V} = 48\text{ V}$.",2,custom
202-1,2,How do you perform a source transformation on the voltage source $V_S = 20\text{ V}$ and resistor $R_1 = 5\text{ k}\Omega$ connected in series?,Convert them into a series combination of a larger voltage source and a smaller resistor,Convert them into a parallel combination of a current source $I_{ST}$ and resistor $R_1$,Eliminate the voltage source entirely and double the resistance of $R_1$,Convert them into a parallel combination of a voltage source and resistor $R_1$,optionB,https://raw.githubusercontent.com/jlohix/Duolingo-for-CA/main/question-bank/st/st2.png,"A series combination of an independent voltage source $V_S$ and a resistor $R_1$ can be transformed into a parallel combination of an independent current source $I_{ST}$ and the same resistor $R_1$, where $I_{ST} = \frac{V_S}{R_1}$.",1,custom
202-2,2,What is the value and direction of the transformed current source $I_{ST}$ from $V_S = 20\text{ V}$ and $R_1 = 5\text{ k}\Omega$?,$100\text{ mA}$ pointing upwards,$0.25\text{ mA}$ pointing upwards,$4\text{ mA}$ pointing downwards,$4\text{ mA}$ pointing upwards,optionD,https://raw.githubusercontent.com/jlohix/Duolingo-for-CA/main/question-bank/st/st2.png,"Using Ohm's law for source transformation: $I_{ST} = \frac{V_S}{R_1} = \frac{20\text{ V}}{5\text{ k}\Omega} = 4\text{ mA}$. Since the positive terminal of the voltage source is at the top, the arrow of the equivalent current source points upwards.",1,custom
202-3,2,How do you combine the parallel current sources $I_{ST} = 4\text{ mA}$ (upwards) and $I_S = 2\text{ mA}$ (upwards) into a single equivalent current source $I_P$?,Add them since they point in the same direction: $I_P = I_{ST} + I_S$,Subtract them since they point in opposite directions: $I_P = I_{ST} - I_S$,Take the average of the two current sources,Multiply them to find the total equivalent source current,optionA,https://raw.githubusercontent.com/jlohix/Duolingo-for-CA/main/question-bank/st/st2.png,"Since both current sources are in parallel and point in the same direction (upwards), their currents add directly: $I_P = I_{ST} + I_S = 4\text{ mA} + 2\text{ mA} = 6\text{ mA}$ pointing upwards.",1,custom
202-4,2,"Which circuit analysis rule can you apply to find the current $i_{R2}$ through resistor $R_2$ from the parallel combination of $I_P$, $R_1$, and $R_2$?",Voltage Divider Rule,Maximum Power Transfer Theorem,Thevenin's Theorem,Current Divider Rule,optionD,https://raw.githubusercontent.com/jlohix/Duolingo-for-CA/main/question-bank/st/st2.png,"When a total current enters a parallel network consisting of multiple resistors (here $R_1$ and $R_2$), the Current Divider Rule is used to determine the portion of current flowing through a specific branch resistor ($R_2$).",1,custom
202-5,2,"What is the final calculated value of current $i_{R2}$ given $I_P = 6\text{ mA}$, $R_1 = 5\text{ k}\Omega$, and $R_2 = 7.5\text{ k}\Omega$?",$2.4\text{ mA}$,$1.5\text{ mA}$,$6.0\text{ mA}$,$3.6\text{ mA}$,optionA,https://raw.githubusercontent.com/jlohix/Duolingo-for-CA/main/question-bank/st/st2.png,Using the current divider formula: $i_{R2} = \frac{\frac{1}{R_2}}{\frac{1}{R_1} + \frac{1}{R_2}} I_P = \frac{\frac{1}{7.5\text{ k}\Omega}}{\frac{1}{7.5\text{ k}\Omega} + \frac{1}{5\text{ k}\Omega}} (6\text{ mA}) = 2.4\text{ mA}$.,1,custom
203-1,2,Convert the independent voltage source ($72\text{ V}$) and its series resistor ($4\;\Omega$) into an equivalent Norton parallel circuit.,$18\text{ A}$ current source in series with a $4\;\Omega$ resistor,$288\text{ A}$ current source in parallel with a $4\;\Omega$ resistor,$18\text{ A}$ current source in parallel with a $4\;\Omega$ resistor,$72\text{ A}$ current source in parallel with a $4\;\Omega$ resistor,optionC,https://raw.githubusercontent.com/jlohix/Duolingo-for-CA/main/question-bank/st/st3.png,"Using source transformation, the Norton current $I_N$ is given by $I_N = \frac{V_s}{R_s} = \frac{72\text{ V}}{4\;\Omega} = 18\text{ A}$, and the parallel resistance remains equal to the series resistance, $R_p = 4\;\Omega$.",2,custom
203-2,2,Determine the Norton equivalent parallel circuit for the dependent voltage-controlled voltage source ($3v_2$) and its series resistance ($12\;\Omega$).,A voltage-controlled current source (VCCS) with value $36v_2\text{ A}$ in parallel with a $12\;\Omega$ resistor,A voltage-controlled current source (VCCS) with value $0.25v_2\text{ A}$ in parallel with a $12\;\Omega$ resistor,A voltage-controlled current source (VCCS) with value $0.33v_2\text{ A}$ in parallel with a $12\;\Omega$ resistor,A voltage-controlled current source (VCCS) with value $3v_2\text{ A}$ in parallel with a $12\;\Omega$ resistor,optionB,https://raw.githubusercontent.com/jlohix/Duolingo-for-CA/main/question-bank/st/st3.png,The dependent voltage source $3v_2$ in series with $12\;\Omega$ transforms into a parallel current source with current equal to $\frac{3v_2}{12} = 0.25v_2\text{ A}$ in parallel with the $12\;\Omega$ resistor.,2,custom
203-3,2,"Calculate the equivalent resistance of all parallel resistors connected in the circuit ($4\;\Omega$, $6\;\Omega$, and $12\;\Omega$).",$2\;\Omega$,$1\;\Omega$,$6\;\Omega$,$4\;\Omega$,optionA,https://raw.githubusercontent.com/jlohix/Duolingo-for-CA/main/question-bank/st/st3.png,"The three resistors are in parallel: $4\;\Omega \parallel 6\;\Omega \parallel 12\;\Omega$. First, $6 \parallel 12 = \frac{6 \times 12}{6 + 12} = \frac{72}{18} = 4\;\Omega$. Then, $4 \parallel 4 = \frac{4 \times 4}{4 + 4} = 2\;\Omega$.",2,custom
203-4,2,Write the nodal equation or apply Ohm's law at the node with voltage $v_2$ in terms of the simplified sources and equivalent resistance.,$v_2 = 12 (18 - 0.25v_2)$,$v_2 = 2 (18 - 0.25v_2)$,$v_2 = 4 (18 - 0.25v_2)$,$v_2 = 2 (18 + 0.25v_2)$,optionB,https://raw.githubusercontent.com/jlohix/Duolingo-for-CA/main/question-bank/st/st3.png,"Applying KCL at node $v_2$, the net current entering the parallel combination of resistors ($R_{eq} = 2\;\Omega$) is the source current ($18\text{ A}$) minus the dependent current source ($0.25v_2\text{ A}$). Thus, $v_2 = R_{eq} (18 - 0.25v_2) = 2(18 - 0.25v_2)$.",2,custom
203-5,2,Solve the final equation to determine the exact numerical value of $v_2$.,$v_2 = 36\text{ V}$,$v_2 = 12\text{ V}$,$v_2 = 18\text{ V}$,$v_2 = 24\text{ V}$,optionD,https://raw.githubusercontent.com/jlohix/Duolingo-for-CA/main/question-bank/st/st3.png,"Starting from $v_2 = 2(18 - 0.25v_2)$, expand the equation: $v_2 = 36 - 0.5v_2$. Rearrange terms: $v_2 + 0.5v_2 = 36 \implies 1.5v_2 = 36$. Solving for $v_2$: $v_2 = \frac{36}{1.5} = 24\text{ V}$.",2,custom
204-1,2,Do the first step of simplification,Transform the 4 V source and $6\Omega$ resistor into a current source in parallel with $6\Omega$,Convert the 2 A current source into a voltage source,Combine the two $12\Omega$ resistors in parallel,Transform the 8 V source and its series resistor,optionA,https://raw.githubusercontent.com/jlohix/Duolingo-for-CA/main/question-bank/st/st4.png,"The leftmost part of the circuit has a 4 V independent voltage source in series with a $6\Omega$ resistor. Applying a source transformation, this converts to a current source of $I = \frac{4\text{ V}}{6\Omega} = \frac{2}{3}\text{ A}$ in parallel with a $6\Omega$ resistor.",3,custom
