id,topicid,question,optionA,optionB,optionC,optionD,answer,image,explanation,difficulty,walkthrough_tag
201-1,2,"According to Ohm's Law, if the resistance in a circuit doubles while the voltage stays the same, what happens to the current?",The current is halved.,The current doubles.,The current is quartered.,The current stays the same.,optionA,,"Ohm's Law states I = V/R. If R doubles while V stays the same, the current becomes V divided by twice the resistance — half of what it was. So the current is halved.",1,custom
202-1,2,"Calculate the current $I$ going through the voltage source when the switch $S1$ is in (a) position 1, and (b) position 2, given $V = 60 \text{ V}$, $R1 = 150 \text{ }\Omega$, and $R2 = 200 \text{ }\Omega$.","(a) $0.4 \text{ A}$, (b) $0.3 \text{ A}$","(a) $0.7 \text{ A}$, (b) $0.3 \text{ A}$","(a) $0.3 \text{ A}$, (b) $0.4 \text{ A}$","(a) $0.4 \text{ A}$, (b) $0.17 \text{ A}$",optionA,https://raw.githubusercontent.com/jlohix/Duolingo-for-CA/main/question-bank/ohmslaw/ohmslaw2.png,"To find the current $I$ through the voltage source, we apply Ohm's Law $I = V / R$. When the switch is in position 1, the circuit consists of the 60V source and R1: $I_1 = 60 \text{ V} / 150 \text{ }\Omega = 0.4 \text{ A}$. When the switch is in position 2, the circuit consists of the 60V source and R2: $I_2 = 60 \text{ V} / 200 \text{ }\Omega = 0.3 \text{ A}$.",1,custom
203-1,2,"In the following circuit, calculate current $i$, the conductance $G$, and the power $p$.","$i = 6 \text{ mA}, G = 200 \text{ mS}, p = 180 \text{ mW}$","$i = 6 \text{ mA}, G = 0.2 \text{ mS}, p = 180 \text{ mW}$","$i = 6 \text{ mA}, G = 0.2 \text{ mS}, p = 6 \text{ mW}$","$i = 150 \text{ mA}, G = 0.2 \text{ mS}, p = 4.5 \text{ W}$",optionB,https://raw.githubusercontent.com/jlohix/Duolingo-for-CA/main/question-bank/ohmslaw/ohmslaw3.png,"Using Ohm's Law, $i = V/R = 30 \text{ V} / 5 \text{ k}\Omega = 6 \text{ mA}$. Conductance is $G = 1/R = 1 / 5000 \Omega = 2 \times 10^{-4} \text{ S} = 0.2 \text{ mS}$. Power is $p = V \cdot i = 30 \text{ V} \cdot 6 \times 10^{-3} \text{ A} = 0.18 \text{ W} = 180 \text{ mW}$. Therefore, $i = 6 \text{ mA}, G = 0.2 \text{ mS}, p = 180 \text{ mW}$.",1,custom
204-1,2,"Given the parallel circuit with a voltage source of $V = 12.0\text{ V}$ and resistors $R_1 = 2.0\text{ }\Omega$, $R_2 = 3.0\text{ }\Omega$, and $R_3 = 6.0\text{ }\Omega$, calculate the current passing through each resistor ($I_1, I_2, I_3$).","$I_1 = 12.0\text{ A}, I_2 = 12.0\text{ A}, I_3 = 12.0\text{ A}$","$I_1 = 6.0\text{ A}, I_2 = 4.0\text{ A}, I_3 = 2.0\text{ A}$","$I_1 = 2.0\text{ A}, I_2 = 3.0\text{ A}, I_3 = 6.0\text{ A}$","$I_1 = 3.0\text{ A}, I_2 = 4.0\text{ A}, I_3 = 6.0\text{ A}$",optionB,https://raw.githubusercontent.com/jlohix/Duolingo-for-CA/main/question-bank/ohmslaw/ohmslaw4.png,"In a parallel circuit, the voltage across each branch is equal to the source voltage, $V = 12.0\text{ V}$. Using Ohm's Law, $I = V / R$:",1,
207-1,2,"A series circuit with four resistors $R_1, R_2, R_3$, and $R_4$ carries a current $I=1.0A$. The voltage drops across $R_1, R_2$, and $R_3$ are $5V, 8V$, and $7V$ respectively, and the equivalent resistance of the whole circuit is $R_{eq}=30\Omega$. Find the value of $R_4$.",$10\Omega$,$5\Omega$,$20\Omega$,$15\Omega$,optionA,https://raw.githubusercontent.com/jlohix/Duolingo-for-CA/main/question-bank/ohmslaw/ohmslaw5.png,"\(R_1=\frac{5}{1}=5\,\Omega,\quad R_2=\frac{8}{1}=8\,\Omega,\quad R_3=\frac{7}{1}=7\,\Omega,\quad R_{\mathrm{eq}}=R_1+R_2+R_3+R_4 \Rightarrow 30=5+8+7+R_4 \Rightarrow \boxed{R_4=10\,\Omega}\)",1,
206-1,2,"To simplify the circuit, which Y network should be transformed into a Delta network?","The Y network consisting of the 10 $\Omega$, 20 $\Omega$, and 5 $\Omega$ resistors.","The Y network consisting of the 12.5 $\Omega$, 10 $\Omega$, and 30 $\Omega$ resistors.",There is no Y network in this circuit.,"The Y network consisting of the 15 $\Omega$, 20 $\Omega$, and 30 $\Omega$ resistors.",optionA,https://raw.githubusercontent.com/jlohix/Duolingo-for-CA/main/question-bank/ohmslaw/ohmslaw6.png,"Looking at the node 'n', the resistors connected are 10 $\Omega$, 20 $\Omega$, and 5 $\Omega$ (which connects node 'n' to node 'c'). Transforming this Y-network centered at node 'n' simplifies the bridge-like structure into a configuration that allows for easier parallel and series combinations.",3,custom
206-2,2,"Given $R_1 = 10\ \Omega$, $R_2 = 20\ \Omega$, and $R_3 = 5\ \Omega$, what are the values of the transformed Delta network resistors $R_a$, $R_b$, and $R_c$?","$R_a = 35\ \Omega, R_b = 17.5\ \Omega, R_c = 70\ \Omega$","$R_a = 70\ \Omega, R_b = 35\ \Omega, R_c = 17.5\ \Omega$","$R_a = 5\ \Omega, R_b = 10\ \Omega, R_c = 20\ \Omega$","$R_a = 17.5\ \Omega, R_b = 35\ \Omega, R_c = 70\ \Omega$",optionA,https://raw.githubusercontent.com/jlohix/Duolingo-for-CA/main/question-bank/ohmslaw/ohmslaw6.png,"Using the formulas $R_{numerator} = R_1R_2 + R_2R_3 + R_3R_1 = (10)(20) + (20)(5) + (5)(10) = 200 + 100 + 50 = 350$. Then $R_a = 350/10 = 35\ \Omega$, $R_b = 350/20 = 17.5\ \Omega$, and $R_c = 350/5 = 70\ \Omega$.",3,custom
206-3,2,"After replacing the Y network with the Delta network, which resistor pairs are in parallel?",12.5 $\Omega$ || 15 $\Omega$ and 17.5 $\Omega$ || 35 $\Omega$,12.5 $\Omega$ || 35 $\Omega$ and 15 $\Omega$ || 17.5 $\Omega$,"12.5 $\Omega$ || 17.5 $\Omega$, 15 $\Omega$ || 35 $\Omega$, and 70 $\Omega$ || 30 $\Omega$",70 $\Omega$ || 12.5 $\Omega$ and 30 $\Omega$ || 15 $\Omega$,optionC,https://raw.githubusercontent.com/jlohix/Duolingo-for-CA/main/question-bank/ohmslaw/ohmslaw6.png,"Once the delta resistors (17.5, 35, 70 $\Omega$) are connected, the 12.5 $\Omega$ and 17.5 $\Omega$ form a parallel path, the 15 $\Omega$ and 35 $\Omega$ form another, and the newly added 70 $\Omega$ resistor is in parallel with the existing 30 $\Omega$ resistor.",3,custom
206-4,2,What is the total equivalent resistance $R_{ab}$ of the circuit?,7.292 $\Omega$,21 $\Omega$,9.632 $\Omega$,10.5 $\Omega$,optionC,https://raw.githubusercontent.com/jlohix/Duolingo-for-CA/main/question-bank/ohmslaw/ohmslaw6.png,"We calculate the parallel combinations: $70||30 = 21\ \Omega$, $12.5||17.5 = 7.292\ \Omega$, and $15||35 = 10.5\ \Omega$. The total resistance is $R_{ab} = (7.292 + 10.5) || 21 = 17.792 || 21 \approx 9.632\ \Omega$.",3,custom
206-5,2,"Given a source voltage of 120 V, what is the total current $i$?",16.457 A,12.458 A,5.714 A,11.429 A,optionB,https://raw.githubusercontent.com/jlohix/Duolingo-for-CA/main/question-bank/ohmslaw/ohmslaw6.png,Using Ohm's Law $i = V_s / R_{ab} = 120 / 9.632 \approx 12.458\ A$.,3,custom
