id,topicid,question,optionA,optionB,optionC,optionD,answer,image,explanation,difficulty,walkthrough_tag
201-1,2,How do you modify the circuit to find the contribution $v_1$ from the $6\text{ V}$ voltage source?,Keep the $6\text{ V}$ voltage source active and replace the $3\text{ A}$ current source with a short circuit.,Replace both sources with short circuits.,Keep the $6\text{ V}$ voltage source active and replace the $3\text{ A}$ current source with an open circuit.,Replace the $6\text{ V}$ source with a short circuit and the $3\text{ A}$ source with an open circuit.,optionC,https://raw.githubusercontent.com/jlohix/Duoling-for-CA/main/lect-eg/sp/spq1.png,"To find the contribution of the independent voltage source using superposition, we deactivate all other independent sources. A current source is deactivated by replacing it with an open circuit (infinite resistance), leaving the $6\text{ V}$ voltage source active.",1,walk-lab-superposition
201-2,2,"Calculate the voltage $v_1$ across the $4\,\Omega$ resistor due to the $6\text{ V}$ source alone.",$2\text{ V}$,$3\text{ V}$,$6\text{ V}$,$4\text{ V}$,optionA,https://raw.githubusercontent.com/jlohix/Duoling-for-CA/main/lect-eg/sp/spq1.png,"With the $3\text{ A}$ source open-circuited, the $8\,\Omega$ resistor and $4\,\Omega$ resistor are in series with the $6\text{ V}$ voltage source. Using the voltage divider rule: $v_1 = 6\text{ V} \times \frac{4}{8 + 4} = 6 \times \frac{4}{12} = 6 \times \frac{1}{3} = 2\text{ V}$.",1,walk-lab-superposition
201-3,2,How do you modify the circuit to find the contribution $v_2$ from the $3\text{ A}$ current source?,Replace the $3\text{ A}$ source with a short circuit and the $6\text{ V}$ source with an open circuit.,Keep the $3\text{ A}$ current source active and replace the $6\text{ V}$ voltage source with an open circuit.,Keep the $3\text{ A}$ current source active and replace the $6\text{ V}$ voltage source with a short circuit.,Replace both sources with open circuits.,optionC,https://raw.githubusercontent.com/jlohix/Duoling-for-CA/main/lect-eg/sp/spq1.png,"To find the contribution of the $3\text{ A}$ current source, we deactivate the independent voltage source by replacing it with a short circuit ($0\text{ V}$ difference, meaning a wire), leaving only the $3\text{ A}$ current source active.",1,walk-lab-superposition
201-4,2,"Calculate the voltage $v_2$ across the $4\,\Omega$ resistor due to the $3\text{ A}$ source alone.",$4\text{ V}$,$12\text{ V}$,$8\text{ V}$,$6\text{ V}$,optionC,https://raw.githubusercontent.com/jlohix/Duoling-for-CA/main/lect-eg/sp/spq1.png,"With the $6\text{ V}$ source short-circuited, the $8\,\Omega$ and $4\,\Omega$ resistors are in parallel with respect to the node pair connected across the $3\text{ A}$ current source. Using current division or equivalent resistance: $R_{p} = 8 \parallel 4 = \frac{8 \times 4}{8 + 4} = \frac{32}{12} = \frac{8}{3}\,\Omega$. Thus, $v_2 = 3\text{ A} \times R_{p} = 3 \times \frac{8}{3} = 8\text{ V}$.",1,walk-lab-superposition
201-5,2,Combine $v_1$ and $v_2$ to find the total voltage $v$ using superposition.,$v = v_1 + v_2 = 10\text{ V}$,$v = -v_1 - v_2 = -10\text{ V}$,$v = v_2 - v_1 = 6\text{ V}$,$v = v_1 - v_2 = -6\text{ V}$,optionA,https://raw.githubusercontent.com/jlohix/Duoling-for-CA/main/lect-eg/sp/spq1.png,"By the principle of superposition, the total response is the algebraic sum of the individual responses: $v = v_1 + v_2 = 2\text{ V} + 8\text{ V} = 10\text{ V}$.",1,walk-lab-superposition
202-1,2,State the principle of superposition and how it applies to finding $v_{R1}$ with two independent voltage sources $V_{S1}$ and $V_{S2}$ in the given circuit.,The total voltage $v_{R1}$ is the product of the voltages produced by each independent source acting alone.,"The total voltage $v_{R1}$ is the algebraic sum of the voltages produced by each independent source acting alone, with all other independent sources deactivated (voltage sources replaced by short circuits).",Superposition only applies to circuits containing dependent sources.,The total voltage $v_{R1}$ is found by replacing all independent sources with open circuits simultaneously.,optionB,https://raw.githubusercontent.com/jlohix/Duoling-for-CA/main/question-bank/sp/spq2.png,"According to the principle of superposition, in a linear circuit with multiple independent sources, the response (voltage or current) can be calculated by summing the responses caused by each independent source acting individually. To deactivate an independent voltage source, we replace it with a short circuit.",1,walk-lab-superposition
202-2,2,Deactivate the right-side voltage source $V_{S2}$ (replace with a short circuit) and determine the contribution to $v_{R1}$ from the left-side voltage source $V_{S1}$ ($V_{S1} = 2\text{ V}$).,$2.000\text{ V}$,$0.315\text{ V}$,$1.360\text{ V}$,$1.685\text{ V}$,optionD,https://raw.githubusercontent.com/jlohix/Duoling-for-CA/main/question-bank/sp/spq2.png,"With $V_{S2}$ shorted, resistors $R_2$ and $R_3$ are in parallel: $R_2 \parallel R_3 = \frac{120 \times 820}{120 + 820} = 104.68\text{ k}\Omega$. The voltage at the right side of $R_1$ is $V_A = 2 \left(\frac{104.68}{560 + 104.68}\right) = 0.315\text{ V}$. Therefore, the contribution to $v_{R1}$ is $v_{R1}^{(1)} = 2 - 0.315 = 1.685\text{ V}$.",1,walk-lab-superposition
202-3,2,Deactivate the left-side voltage source $V_{S1}$ (replace with a short circuit) and determine the contribution to $v_{R1}$ from the right-side voltage source $V_{S2}$ ($V_{S2} = 3\text{ V}$).,$-0.323\text{ V}$,$3.000\text{ V}$,$-1.360\text{ V}$,$0.323\text{ V}$,optionA,https://raw.githubusercontent.com/jlohix/Duoling-for-CA/main/question-bank/sp/spq2.png,"With $V_{S1}$ shorted, the left side of $R_1$ is grounded ($0\text{ V}$). Resistors $R_1$ and $R_2$ are in parallel: $R_1 \parallel R_2 = \frac{560 \times 120}{560 + 120} = 98.82\text{ k}\Omega$. The node voltage on the right side of $R_1$ is $3 \left(\frac{98.82}{820 + 98.82}\right) = 0.323\text{ V}$. Considering the polarity of $v_{R1}$ (positive on the left, negative on the right), the contribution is $v_{R1}^{(2)} = 0 - 0.323 = -0.323\text{ V}$.",1,walk-lab-superposition
202-4,2,Combine the individual voltage contributions from both sources ($v_{R1}^{(1)}$ and $v_{R1}^{(2)}$) to find the final value of $v_{R1}$.,$0.500\text{ V}$,$1.005\text{ V}$,$2.008\text{ V}$,$1.360\text{ V}$,optionD,https://raw.githubusercontent.com/jlohix/Duoling-for-CA/main/question-bank/sp/spq2.png,Adding the individual voltage contributions obtained using superposition: $v_{R1} = v_{R1}^{(1)} + v_{R1}^{(2)} = 1.685\text{ V} + (-0.323\text{ V}) = 1.362\text{ V} \approx 1.36\text{ V}$.,1,walk-lab-superposition
203-1,2,How should you modify the circuit to analyze the effect of the voltage source acting alone?,Short circuit the voltage source and short circuit the current source,Open circuit both sources,Short circuit the voltage source and open circuit the current source,Open circuit the voltage source and short circuit the current source,optionC,https://raw.githubusercontent.com/jlohix/Duoling-for-CA/main/question-bank/sp/spq3.png,"To apply the superposition theorem and evaluate the response due to the voltage source $V_S$ alone, we turn off all other independent sources. An independent voltage source is turned off by replacing it with a short circuit ($0\text{ V}$), and an independent current source is turned off by replacing it with an open circuit ($0\text{ A}$).",2,walk-lab-superposition
203-2,2,Calculate the contribution to $i_{R2}$ from the voltage source acting alone ($V_S = 4\text{ V}$).,$0.1500\text{ mA}$,$0.1088\text{ mA}$,$0.0500\text{ mA}$,$0.2000\text{ mA}$,optionB,https://raw.githubusercontent.com/jlohix/Duoling-for-CA/main/question-bank/sp/spq3.png,"With $I_S$ open-circuited, $R_3$ and $R_4$ are in series, giving $R_3 + R_4 = 22 + 10 = 32\text{ k}\Omega$. This combination is in parallel with $R_2 = 18\text{ k}\Omega$, resulting in $R_{eq} = 18 \parallel 32 = 11.52\text{ k}\Omega$. Using a voltage divider: $V_A = 4 \times \left(\frac{11.52}{12 + 11.52}\right) = 1.959\text{ V}$. The current is $i_{R2}^{(V_s)} = \frac{1.959}{18\text{ k}} = 0.1088\text{ mA}$ downward.",2,walk-lab-superposition
203-3,2,How should you modify the circuit to analyze the effect of the current source acting alone?,Short circuit the voltage source and open circuit the current source,Open circuit the voltage source and open circuit the current source,Short circuit the voltage source and leave the current source active,Open circuit the voltage source and leave the current source active,optionD,https://raw.githubusercontent.com/jlohix/Duoling-for-CA/main/question-bank/sp/spq3.png,"To analyze the contribution of the current source $I_S$ alone, we turn off the independent voltage source $V_S$ by replacing it with a short circuit, while leaving the current source $I_S$ active in the circuit.",2,walk-lab-superposition
203-4,2,Calculate the contribution to $i_{R2}$ from the current source acting alone ($I_S = 0.23\text{ mA}$).,$0.0235\text{ mA}$,$0.0587\text{ mA}$,$0.1088\text{ mA}$,$0.2300\text{ mA}$,optionA,https://raw.githubusercontent.com/jlohix/Duoling-for-CA/main/question-bank/sp/spq3.png,"With $V_S$ short-circuited, $R_1$ and $R_2$ are in parallel: $R_1 \parallel R_2 = 12 \parallel 18 = 7.2\text{ k}\Omega$. The total resistance in that branch combined with $R_3$ is $22 + 7.2 = 29.2\text{ k}\Omega$. This is in parallel with $R_4 = 10\text{ k}\Omega$. Using current division, the current through $R_3$ is $I_{R3} = 0.23 \times \left(\frac{10}{10 + 29.2}\right) = 0.05867\text{ mA}$. Then, current division between $R_1$ and $R_2$ yields $i_{R2}^{(I_s)} = 0.05867 \times \left(\frac{12}{12 + 18}\right) = 0.02347\text{ mA} \approx 0.0235\text{ mA}$ downward.",2,walk-lab-superposition
203-5,2,Combine the individual contributions from each source to find the total current $i_{R2}$.,$0.0853\text{ mA}$,$0.1323\text{ mA}$,$0.1557\text{ mA}$,$0.1088\text{ mA}$,optionB,https://raw.githubusercontent.com/jlohix/Duoling-for-CA/main/question-bank/sp/spq3.png,"By superposition, the total current is the sum of the individual contributions flowing in the same downward direction: $i_{R2} = i_{R2}^{(V_s)} + i_{R2}^{(I_s)} = 0.1088\text{ mA} + 0.02347\text{ mA} = 0.13227\text{ mA} \approx 0.132\text{ mA}$.",2,walk-lab-superposition
204-1,2,How do you modify the circuit to find the contribution of the first voltage source $V_{S1}$ using superposition?,Keep $V_{S1}$ active as a voltage source and replace $V_{S2}$ with a short circuit.,Replace $V_{S1}$ with a short circuit and keep $V_{S2}$ as an independent voltage source.,Replace both $V_{S1}$ and $V_{S2}$ with open circuits.,Keep both $V_{S1}$ and $V_{S2}$ active simultaneously.,optionA,https://raw.githubusercontent.com/jlohix/Duoling-for-CA/main/question-bank/sp/spq4.png,"To find the contribution of the first voltage source $V_{S1}$ using superposition, we turn off all other independent sources. Since $V_{S2}$ is an independent voltage source, we turn it off by replacing it with a short circuit, leaving $V_{S1}$ active.",3,walk-lab-superposition
204-2,2,Calculate the current contribution $i_{R1}^{(1)}$ through resistor $R_1$ due solely to the first voltage source $V_{S1}$ ($V_{S1} = 16\text{ V}$).,$14.37\;\mu\text{A}$,$-2.53\;\mu\text{A}$,$11.8\;\mu\text{A}$,$5.06\;\mu\text{A}$,optionA,https://raw.githubusercontent.com/jlohix/Duoling-for-CA/main/question-bank/sp/spq4.png,"With $V_{S2}$ shorted, $R_4$ and $R_5$ are in parallel: $R_4 \parallel R_5 = 680\text{ k}\Omega \parallel 560\text{ k}\Omega = 307.1\text{ k}\Omega$. Adding $R_3$ in series gives $150\text{ k}\Omega + 307.1\text{ k}\Omega = 457.1\text{ k}\Omega$. This is in parallel with $R_2$ ($820\text{ k}\Omega$), resulting in $R_{\text{eq}} = 820\text{ k}\Omega \parallel 457.1\text{ k}\Omega = 293.5\text{ k}\Omega$. Finally, $i_{R1}^{(1)} = \frac{16\text{ V}}{820\text{ k}\Omega + 293.5\text{ k}\Omega} = 14.37\;\mu\text{A}$.",3,walk-lab-superposition
204-3,2,How do you modify the circuit to find the contribution of the second voltage source $V_{S2}$ using superposition?,Replace $V_{S1}$ with a short circuit and keep $V_{S2}$ active as a voltage source.,Replace $V_{S2}$ with a short circuit and keep $V_{S1}$ active.,Replace $V_{S1}$ with an open circuit and keep $V_{S2}$ active.,Replace both sources with short circuits.,optionA,https://raw.githubusercontent.com/jlohix/Duoling-for-CA/main/question-bank/sp/spq4.png,"To find the contribution of the second voltage source $V_{S2}$ using superposition, we turn off the first independent voltage source $V_{S1}$ by replacing it with a short circuit, while keeping $V_{S2}$ active.",3,walk-lab-superposition
204-4,2,Calculate the current contribution $i_{R1}^{(2)}$ through resistor $R_1$ due solely to the second voltage source $V_{S2}$ ($V_{S2} = 8\text{ V}$).,$14.37\;\mu\text{A}$,$-2.53\;\mu\text{A}$,$-11.8\;\mu\text{A}$,$2.53\;\mu\text{A}$,optionB,https://raw.githubusercontent.com/jlohix/Duoling-for-CA/main/question-bank/sp/spq4.png,"With $V_{S1}$ shorted, $R_1$ and $R_2$ are in parallel: $820\text{ k}\Omega \parallel 820\text{ k}\Omega = 410\text{ k}\Omega$. Adding $R_3$ in series gives $150\text{ k}\Omega + 410\text{ k}\Omega = 560\text{ k}\Omega$. This is in parallel with $R_4$ ($680\text{ k}\Omega$), giving $R_{\text{eq}} = 560\text{ k}\Omega \parallel 680\text{ k}\Omega = 307.1\text{ k}\Omega$. Using a voltage divider, $V_B = 8\left(\frac{307.1}{560 + 307.1}\right) = 2.833\text{ V}$. The current through the $R_3$ branch is $I = \frac{2.833\text{ V}}{150\text{ k}\Omega + 410\text{ k}\Omega} = 5.06\;\mu\text{A}$, which splits equally between $R_1$ and $R_2$, giving $2.53\;\mu\text{A}$ through $R_1$. Since this flows right-to-left (opposite to the reference arrow for $i_{R1}$), $i_{R1}^{(2)} = -2.53\;\mu\text{A}$.",3,walk-lab-superposition
204-5,2,Combine the individual current contributions from both sources to find the total current $i_{R1}$.,$16.90\;\mu\text{A}$,$2.53\;\mu\text{A}$,$11.84\;\mu\text{A}$,$14.37\;\mu\text{A}$,optionC,https://raw.githubusercontent.com/jlohix/Duoling-for-CA/main/question-bank/sp/spq4.png,"Using the superposition principle, the total current is the algebraic sum of the individual contributions: $i_{R1} = i_{R1}^{(1)} + i_{R1}^{(2)} = 14.37\;\mu\text{A} - 2.53\;\mu\text{A} = 11.84\;\mu\text{A} \approx 11.8\;\mu\text{A}$.",3,walk-lab-superposition
205-1,2,How do you modify the circuit to find the response due to the first current source $I_{S1}$ acting alone?,Open $I_{S2}$ (replace it with an open circuit),Short $I_{S2}$ (replace it with a short circuit),Short $I_{S1}$ and open $I_{S2}$,Remove $R_3$,optionA,https://raw.githubusercontent.com/jlohix/Duoling-for-CA/main/question-bank/sp/spq5.png,"To use superposition for a current source, we deactivate all other independent sources. An independent current source is deactivated by replacing it with an open circuit. Thus, $I_{S2}$ is opened.",1,walk-lab-superposition
205-2,2,"Calculate the current contribution $i_{R3}^{(1)}$ through $R_3$ when only $I_{S1} = 5.8\text{ A}$ is active ($R_1 = 6.8\,\Omega$, $R_2 = 4.7\,\Omega$, $R_3 = 2.7\,\Omega$).",$2.78\text{ A}$,$3.00\text{ A}$,$5.77\text{ A}$,$1.52\text{ A}$,optionA,https://raw.githubusercontent.com/jlohix/Duoling-for-CA/main/question-bank/sp/spq5.png,"When $I_{S2}$ is open, the total resistance in series with $R_3$ is $R_2 + R_3 = 4.7 + 2.7 = 7.4\,\Omega$. Using current division with $I_{S1} = 5.8\text{ A}$:
$$i_{R3}^{(1)} = 5.8 \left(\frac{R_1}{R_1 + (R_2 + R_3)}\right) = 5.8 \left(\frac{6.8}{6.8 + 7.4}\right) = 2.78\text{ A}$$",1,walk-lab-superposition
205-3,2,How do you modify the circuit to find the response due to the second current source $I_{S2}$ acting alone?,Short $I_{S1}$,Open $I_{S2}$,Short both $I_{S1}$ and $I_{S2}$,Open $I_{S1}$,optionD,https://raw.githubusercontent.com/jlohix/Duoling-for-CA/main/question-bank/sp/spq5.png,"To find the response due to $I_{S2}$ acting alone, we deactivate the other independent source, $I_{S1}$, by replacing it with an open circuit.",1,walk-lab-superposition
