id,topicid,question,optionA,optionB,optionC,optionD,answer,image,explanation,difficulty,walkthrough_tag
201-1,2,"Using the passive sign convention, if the calculated power $P = VI$ for a specific component is negative, what does this indicate about the component?",The component is absorbing power from the circuit.,The component is a short circuit.,The component is supplying energy to the circuit.,The component must have negative resistance.,optionC,,"According to the passive sign convention, power is defined as $P = VI$ where current $I$ enters the positive terminal of the voltage $V$. If $P > 0$, the component is absorbing power. If $P < 0$, the mathematical sign indicates that the actual direction of power flow is opposite to the assumed passive reference, meaning the component is delivering power to the rest of the circuit.",1,custom
202-1,2,"For a DC circuit with a fixed source resistance $R_s$, maximum power is delivered to a load $R_L$ when:",$R_L = R_s$,$R_L = \infty$,$R_L = 2R_s$,$R_L = 0$,optionA,,"To find the condition for maximum power, we define the load power $P_L$ as $P_L = I^2 R_L$, where $I = V_s / (R_s + R_L)$. Substituting $I$, we get $P_L = [V_s / (R_s + R_L)]^2 R_L$. To maximize $P_L$, we take the derivative with respect to $R_L$ and set it to zero: $dP_L/dR_L = V_s^2 [ (R_s + R_L)^2 - R_L(2)(R_s + R_L) ] / (R_s + R_L)^4 = 0$. This simplifies to $R_s + R_L - 2R_L = 0$, which results in $R_L = R_s$.",1,custom
203-1,2,What is the total equivalent resistance of the circuit based on Ohm's Law and the given source voltage of $120\text{ V}$ and current of $0.50\text{ A}$?,$240\ \Omega$,$60\ \Omega$,$120\ \Omega$,$0.004\ \Omega$,optionA,"https://raw.githubusercontent.com/jlohix/Duolingo-for-CA/main/question-bank/power/power3.png","According to Ohm's Law, the total resistance $R_{eq}$ is given by $R_{eq} = V / I$. Plugging in the given values: $R_{eq} = 120\text{ V} / 0.50\text{ A} = 240\ \Omega$.",1,custom
203-2,2,"Given the total equivalent resistance is $240\ \Omega$ and the circuit contains a $50\ \Omega$ resistor in series with resistor $R$, what is the value of $R$?",$190\ \Omega$,$290\ \Omega$,$4.8\ \Omega$,$120\ \Omega$,optionA,"https://raw.githubusercontent.com/jlohix/Duolingo-for-CA/main/question-bank/power/power3.png","For resistors in series, the total resistance is the sum of the individual resistances: $R_{eq} = R_1 + R$. Therefore, $240\ \Omega = 50\ \Omega + R$. Solving for $R$, we get $R = 240\ \Omega - 50\ \Omega = 190\ \Omega$.",1,custom
203-3,2,"Calculate the power dissipated by the $50\ \Omega$ resistor, given the current through it is $0.50\text{ A}$.",$60\text{ W}$,$12.5\text{ W}$,$100\text{ W}$,$25\text{ W}$,optionB,"https://raw.githubusercontent.com/jlohix/Duolingo-for-CA/main/question-bank/power/power3.png","Power dissipated by a resistor is calculated using the formula $P = I^2R$. Substituting the known values: $P = (0.50\text{ A})^2 \times 50\ \Omega = 0.25 \times 50 = 12.5\text{ W}$.",1,custom
204-1,2,What is the equivalent resistance of the circuit?,"$50 \, \Omega$","$0.083 \, \Omega$","$600 \, \Omega$","$12 \, \Omega$",optionD,"https://raw.githubusercontent.com/jlohix/Duolingo-for-CA/main/question-bank/power/power4.png","For two resistors in parallel, the equivalent resistance $R_{eq}$ is calculated using the formula $\frac{1}{R_{eq}} = \frac{1}{R_1} + \frac{1}{R_2}$. Substituting the values: $\frac{1}{R_{eq}} = \frac{1}{20} + \frac{1}{30} = \frac{3+2}{60} = \frac{5}{60} = \frac{1}{12}$. Thus, $R_{eq} = 12 \, \Omega$.",1,custom
204-2,2,What is the current reading of the ammeter?,"$1.00 \, A$","$0.24 \, A$","$0.40 \, A$","$0.60 \, A$",optionD,"https://raw.githubusercontent.com/jlohix/Duolingo-for-CA/main/question-bank/power/power4.png","Since the $20\,\Omega$ and $30\,\Omega$ resistors are connected in parallel, the voltage across each resistor is $12\,\text{V}$. The ammeter is connected in series with the $20\,\Omega$ resistor, so it measures only the current through this branch. Using Ohm's law, $I_A=\frac{V}{R}=\frac{12}{20}=0.60\,\text{A}$. Therefore, the ammeter reads 0.60A.",1,custom
204-3,2,What is the power of the 30-ohm resistor?,"$2.4 \, W$","$19.2 \, W$","$7.2 \, W$","$4.8 \, W$",optionD,"https://raw.githubusercontent.com/jlohix/Duolingo-for-CA/main/question-bank/power/power4.png","Power is calculated using $P = V^2 / R$. Given $V = 12 \, V$ and $R = 30 \, \Omega$, we have $P = (12^2) / 30 = 144 / 30 = 4.8 \, W$.",1,custom
205-1,2,"Using Kirchhoff's Current Law (KCL), determine the current through element $p_4$.",$-1\text{ A}$,$-11\text{ A}$,$1\text{ A}$,$11\text{ A}$,optionC,"https://raw.githubusercontent.com/jlohix/Duolingo-for-CA/main/question-bank/power/power5.png","Let the central node be node X. Applying KCL at node X, sum of currents entering = sum of currents leaving. Current entering from $p_2$ is $5\text{ A}$. Current leaving through $p_3$ is $6\text{ A}$. Since $p_4$'s arrow points upward — i.e. from the bottom rail into node X — its current $i_{p4}$ also enters the node, not leaves it. So, $5 + i_{p4} = 6$. Thus, $i_{p4} = 6 - 5 = 1\text{ A}$, matching the source's own defined value $0.2I = 0.2(5) = 1\text{ A}$.",2,custom
205-2,2,"Calculate the power for all elements: $p_1, p_2, p_3, p_4$.","$p_1: 100\text{W}, p_2: -60\text{W}, p_3: -48\text{W}, p_4: 8\text{W}$","$p_1: -100\text{W}, p_2: 60\text{W}, p_3: 48\text{W}, p_4: 8\text{W}$","$p_1: 100\text{W}, p_2: 60\text{W}, p_3: 48\text{W}, p_4: -8\text{W}$","$p_1: -100\text{W}, p_2: 60\text{W}, p_3: 48\text{W}, p_4: -8\text{W}$",optionD,"https://raw.githubusercontent.com/jlohix/Duolingo-for-CA/main/question-bank/power/power5.png","Power is calculated as $P=VI$ (passive sign convention). $p_1$: $P = -(20)(5) = -100\text{ W}$ (supplied). $p_2$: $P = (12)(5) = 60\text{ W}$ (absorbed). $p_3$: $P = (8)(6) = 48\text{ W}$ (absorbed). $p_4$: since $p_4$ is in parallel with $p_3$ (both connect node X to the bottom rail), $V_{p4} = V_{p3} = 8\text{ V}$. Its current is $I_{source} = 0.2I = 0.2(5) = 1\text{ A}$ upward, which enters the negative terminal, so $P = -(8)(1) = -8\text{ W}$ (supplied). Sum check: $-100 + 60 + 48 - 8 = 0\text{ W}$.",2,custom
