id,topicid,question,optionA,optionB,optionC,optionD,answer,image,explanation,difficulty,walkthrough_tag
203-1,2,What does the Thevenin equivalent voltage represent at terminals a-b in an open-circuit condition?,The voltage drop across the $3\ \Omega$ resistor only,The short-circuit current across terminals $a-b$,The open-circuit voltage $V_{Th} = V_{ab} = V_a - V_b$,The total voltage supplied by the independent voltage source,optionC,https://raw.githubusercontent.com/jlohix/Duolingo-for-CA/main/question-bank/thevenin/thq2.png,"The Thevenin equivalent voltage ($V_{Th}$) is defined as the open-circuit voltage measured across the load terminals $a$ and $b$, which can be expressed as $V_{Th} = V_{ab} = V_a - V_b$.",1,walk-lab-thevenin
203-2,2,Define the reference node voltage and identify the node voltage at terminal a relative to it.,"Set reference node $a = 12\text{ V}$, leaving terminal $b$ at node voltage $V_b$",Set reference node at the top of the $12\text{ V}$ source,"Set reference node $b = 0\text{ V}$, leaving terminal $a$ at node voltage $V_a$",Set reference node at the center of the $1\text{ A}$ current source,optionC,https://raw.githubusercontent.com/jlohix/Duolingo-for-CA/main/question-bank/thevenin/thq2.png,"By choosing the bottom wire containing terminal $b$ as the reference node ($V_b = 0\text{ V}$), the potential at terminal $a$ is represented simply by the node voltage $V_a$.",1,walk-lab-thevenin
203-3,2,Apply Kirchhoff's Current Law (KCL) at node a to set up the nodal equation.,$\frac{V_a}{3} + \frac{V_a}{6} = 1$,$\frac{V_a}{3} + \frac{V_a - 12}{6} = 1$,$\frac{V_a - 12}{3} + \frac{V_a}{6} = -1$,$\frac{V_a - 12}{3} + \frac{V_a}{6} = 1$,optionD,https://raw.githubusercontent.com/jlohix/Duolingo-for-CA/main/question-bank/thevenin/thq2.png,"Applying KCL at node $a$, the sum of currents leaving the node equals zero (or sum of currents leaving equals sum of entering currents). The current leaving through the $3\ \Omega$ resistor is $\frac{V_a - 12}{3}$, the current leaving through the $6\ \Omega$ resistor is $\frac{V_a}{6}$, and the current entering from the current source is $1\text{ A}$. Thus, $\frac{V_a - 12}{3} + \frac{V_a}{6} = 1$.",1,walk-lab-thevenin
203-4,2,"Solve the KCL equation to find the node voltage at terminal a, which equals the Thevenin voltage.",$V_{Th} = 6\text{ V}$,$V_{Th} = 10\text{ V}$,$V_{Th} = 8\text{ V}$,$V_{Th} = 12\text{ V}$,optionB,https://raw.githubusercontent.com/jlohix/Duolingo-for-CA/main/question-bank/thevenin/thq2.png,"Starting with the KCL equation $\frac{V_a - 12}{3} + \frac{V_a}{6} = 1$, multiply the entire equation by $6$:",1,
204-1,2,How do you deactivate the independent source to prepare for finding the Thevenin resistance?,Replace the $5\text{ V}$ independent voltage source with a short circuit,Replace the $5\text{ V}$ independent voltage source with a $1\text{ k}\Omega$ resistor,Leave the $5\text{ V}$ independent voltage source as it is,Replace the $5\text{ V}$ independent voltage source with an open circuit,optionA,https://raw.githubusercontent.com/jlohix/Duoling-for-CA/main/question-bank/thevenin/thq3.png,"To find the Thevenin resistance, all independent sources must be deactivated. An independent voltage source is deactivated by replacing it with a short circuit ($0\text{ V}$), meaning a wire connection.",2,walk-lab-thevenin
204-2,2,What is the equivalent resistance of the two two-kiloohm resistors after deactivating the independent source?,$0.5\text{ k}\Omega$,$2\text{ k}\Omega$,$4\text{ k}\Omega$,$1\text{ k}\Omega$,optionD,https://raw.githubusercontent.com/jlohix/Duoling-for-CA/main/question-bank/thevenin/thq3.png,"After replacing the $5\text{ V}$ source with a short circuit, both $2\text{ k}\Omega$ resistors are connected in parallel between the intermediate node and ground ($B$). Thus, their equivalent resistance is $R_{\text{eq}} = 2\text{ k}\Omega \parallel 2\text{ k}\Omega = \frac{2 \times 2}{2 + 2} = 1\text{ k}\Omega$.",2,walk-lab-thevenin
204-3,2,How do you connect a test source across terminals A and B to find the Thevenin resistance for a circuit with a dependent source?,Connect a test resistor across terminals A and B,Connect a test current source $I_t$ or test voltage source $V_t$ directly between terminals A and B,Connect a test current source across the $5\text{ V}$ source terminals,Connect a test voltage source in series with the $1\text{ k}\Omega$ resistor,optionB,https://raw.githubusercontent.com/jlohix/Duoling-for-CA/main/question-bank/thevenin/thq3.png,"Since the circuit contains a dependent source, we apply a test voltage source $V$ (or test current source $I_t$) across the open terminals A and B to determine the ratio $R_{\text{Th}} = \frac{V}{I_t}$.",2,walk-lab-thevenin
204-4,2,What is the relationship between the test voltage $V$ and the voltage of the left-hand node relative to terminal B?,$V_{\text{left}} = V + 3V_{AB}$,$V_{\text{left}} = 3V_{AB}$,$V_{\text{left}} = V$,$V_{\text{left}} = V - 3V_{AB}$,optionA,https://raw.githubusercontent.com/jlohix/Duoling-for-CA/main/question-bank/thevenin/thq3.png,"Let $V_{AB} = V$ with terminal B as reference ($0\text{ V}$). The dependent voltage source is $3V_{AB} = 3V$ with the positive terminal on the left and negative on the right. Applying KVL gives $V_{\text{left}} - V_A = 3V$, so $V_{\text{left}} = V + 3V = 4V$.",2,walk-lab-thevenin
204-5,2,Calculate the total test current entering terminal A and determine the resulting Thevenin resistance.,$R_{\text{Th}} = 200\text{}\Omega$ ($0.2\text{ k}\Omega$),$R_{\text{Th}} = 50\Omega$,$R_{\text{Th}} = 0.5\text{ k}\Omega$,$R_{\text{Th}} = 1\text{ k}\Omega$,optionA,https://raw.githubusercontent.com/jlohix/Duoling-for-CA/main/question-bank/thevenin/thq3.png,"The current through the left $1\text{ k}\Omega$ equivalent resistor is $I_1 = \frac{4V}{1\text{ k}\Omega}$, and the current directly through the right $1\text{ k}\Omega$ resistor is $I_2 = \frac{V}{1\text{ k}\Omega}$. The total test current is $I_t = I_1 + I_2 = \frac{4V}{1\text{ k}} + \frac{V}{1\text{ k}} = \frac{5V}{1\text{ k}}$. Thus, $R_{\text{Th}} = \frac{V}{I_t} = \frac{V}{5V / 1000} = 200\text{}\Omega = 0.2\text{ k}\Omega$.",2,walk-lab-thevenin
205-1,2,"How does the open-circuit condition at terminal a affect the current and voltage drop across the $4\,\Omega$ resistor?","The current is maximum, and the voltage drop is 25 V.","The current is non-zero, but the voltage drop is zero.","The current is 3 A, and the voltage drop is 12 V.","The current is zero, and the voltage drop is zero.",optionD,https://raw.githubusercontent.com/jlohix/Duolingo-for-CA/main/question-bank/thevenin/thq4.png,"Since the output terminal $a$ is open-circuited, no current can flow through the $4\,\Omega$ resistor connected in series with it ($I_{4\Omega} = 0$). By Ohm's law, with zero current, the voltage drop across the $4\,\Omega$ resistor is also zero ($V = I \times R = 0$). Thus, the open-circuit voltage $V_{th}$ is simply equal to the node voltage $V_1$ at the main top node.",2,walk-lab-thevenin
