id,topicid,question,optionA,optionB,optionC,optionD,answer,image,explanation,difficulty,walkthrough_tag
901-1,9,Determine the value of $R$ in $\Omega$ (round to 2 decimal places).,$5.00\;\Omega$,$2.50\;\Omega$,$1.00\;\Omega$,$1.25\;\Omega$,optionD,https://raw.githubusercontent.com/jlohix/Duolingo-for-CA/main/question-bank/kclkvl/kclkvl1.png,"Applying Kirchhoff's Voltage Law (KVL) around the single clockwise loop with current $i$:
1. Total voltage rises = $40\text{ V} + 50\text{ V} = 90\text{ V}$.
2. Total voltage drops = $10\text{ V} + (10\;\Omega)i$.
3. Equating rises and drops: $40 + 50 = 10 + 10i$, which simplifies to $90 = 10 + 10i$, yielding $10i = 80$ or $i = 8\text{ A}$.
4. Using Ohm's law across resistor $R$ where the voltage drop is given as $10\text{ V}$ and current is $8\text{ A}$: $R = \frac{V_R}{i} = \frac{10\text{ V}}{8\text{ A}} = 1.25\;\Omega$.",1,custom
902-1,9,Kirchhoff's Current Law (KCL) is a direct consequence of which fundamental physical principle?,Conservation of Momentum,Conservation of Energy,Conservation of Charge,Conservation of Magnetic Flux,optionC,https://raw.githubusercontent.com/jlohix/Duolingo-for-CA/main/PYP-qn-images/Screenshot_2026_09_12_at_12.58.51_AM.png,"Kirchhoff's Current Law (KCL) states that the algebraic sum of currents entering a node must equal zero. This is a direct consequence of the principle of conservation of electric charge, which dictates that charge cannot be created or destroyed at any node.",1,custom
903-1,9,"In any closed loop of a circuit, the algebraic sum of all voltages (potential differences) must be equal to:",Zero,The sum of the power dissipated by the resistors,The total current flowing in the loop,The total resistance of the loop,optionA,https://raw.githubusercontent.com/jlohix/Duolingo-for-CA/main/PYP-qn-images/Screenshot_2026_09_12_at_12.58.51_AM.png,"Kirchhoff's Voltage Law (KVL) is based on the principle of conservation of energy. It states that the directed sum of potential differences around any closed loop is zero, which is mathematically expressed as $\sum_{k=1}^{n} V_k = 0$. Alternatively, this can be written as the sum of voltage rises equal to the sum of voltage drops: $\sum V_{rises} = \sum V_{drops}$.",1,custom
904-1,9,"Using Kirchhoff's Current Law (KCL) at the nodes in the provided circuit, determine the values for the unknown currents $i_1$, $i_2$, and $i_3$.","$i_1 = 7$ A, $i_2 = 0$ A, $i_3 = 8$ A","$i_1 = 12$ A, $i_2 = 0$ A, $i_3 = 3$ A","$i_1 = 8$ A, $i_2 = 4$ A, $i_3 = 7$ A","$i_1 = 12$ A, $i_2 = 8$ A, $i_3 = 5$ A",optionB,https://raw.githubusercontent.com/jlohix/Duolingo-for-CA/main/question-bank/kclkvl/kclkvl4.png,"To solve for the currents, apply KCL at the junction nodes: 1) At junction $J_1$ (left internal node): $i_1$ enters the node, while $4$ A (upward) and $8$ A (rightward) exit. Thus, $i_1 = 4 + 8 = 12$ A. 2) At junction $J_2$ (right internal node): $8$ A enters from the left, while $i_2$ (upward) and $8$ A (downward) exit. Thus, $8 = i_2 + 8$, which gives $i_2 = 0$ A. 3) At the top-right corner node: $i_2$ (upward) and $i_3$ (upward) flow into the node, and $3$ A (leftward) flows out. Thus, $i_2 + i_3 = 3$. Substituting $i_2 = 0$ gives $0 + i_3 = 3$, so $i_3 = 3$ A.",1,custom
905-1,9,"For the given circuit, determine the values for the unknown voltage sources $V1, V2, V3,$ and $V4$ given the fixed component values and assuming the bottom rail is the reference node ($0V$).","$V1=4 V, V2=−1 V, V3=2 V, V4=3 V$","$V1 = -2V, V2 = -1V, V3 = -4V, V4 = 9V$","$V1=−6 V, V2=3 V, V3=−4 V, V4=9 V$","$V1=−2 V, V2=1 V, V3=−4 V, V4=9 V$",optionB,https://raw.githubusercontent.com/jlohix/Duolingo-for-CA/main/question-bank/kclkvl/kclkvl5.png,"First, establish node potentials relative to the bottom rail ($0V$). For the left branch: node $J_L$ is $5V$ (from source 5). The top rail is $J_L + 2V = 7V$. For the right branch: node $J_R$ is $6V$ (from source 6). The middle node $J_M$ is $J_R + 3V = 9V$ (from source 3). Now calculate the unknowns: $V4 = J_M - 0 = 9V$. $V1 = \text{Top Rail} - J_M = 7V - 9V = -2V$. $V3 = J_L - J_M = 5V - 9V = -4V$. Finally, $V2 = J_R - \text{Top Rail} = 6V - 7V = -1V$.",2,custom
906-1,9,"Given the provided circuit, determine the voltage $v$ across the $14\Omega$ resistor and the current $i_x$ flowing through the central branch.","$v=−4, ix=−3.33 A$","$v=4, ix=3.33 A$","$v = 4\text{ V}, i_x = -3.33\text{ A}$","$v=4, ix=7.33 A $",optionC,https://raw.githubusercontent.com/jlohix/Duolingo-for-CA/main/question-bank/kclkvl/kclkvl6.png,"To solve this, first identify node voltages relative to the ground rail. $V_A = 10\text{ V}$ and $V_B = 6\text{ V}$. The voltage $v$ across the $14\Omega$ resistor is $V_A - V_B = 10 - 6 = 4\text{ V}$. For $i_x$, define the node at the right as $V_C$. From the $16\text{ V}$ source between nodes B and C, $V_B - V_C = 16\text{ V}$, so $V_C = 6 - 16 = -10\text{ V}$. The dependent source gives $V_C = 3i_x$, therefore $3i_x = -10$, which results in $i_x = -10/3 \approx -3.33\text{ A}$.",2,custom
907-1,9,"Starting from the 12V source and moving clockwise around the loop, what is the correct KVL equation for the circuit?",$-12 + 4i + v_0 - 4 - v_0 = 0$,$-12 + 4i + 2v_0 + 4 - v_0 = 0$,$12 + 4i + 2v_0 + 4 + v_0 = 0$,$-12 + 4i + 2v_0 - 4 - v_0 = 0$,optionD,https://raw.githubusercontent.com/jlohix/Duolingo-for-CA/main/question-bank/kclkvl/kclkvl7.png,"Apply KVL by summing voltage rises to zero while tracing the loop clockwise starting at the 12V source: −12 (drop across the 12V source, − terminal encountered first) + 4i (drop across the 4Ω resistor, current i flows in the trace direction) + 2v₀ (drop across the dependent source, + terminal encountered first) − 4 (rise across the 4V source, − terminal encountered first) − v₀ (drop across the 6Ω resistor, + terminal encountered first) = 0. This gives −12 + 4i + 2v₀ − 4 − v₀ = 0.",2,custom
907-2,9,"Given the polarity of $v_0$ across the $6\Omega$ resistor and the direction of current $i$, what is the expression for $v_0$?",$v_0 = -i/6$,$v_0 = -6i$,$v_0 = i/6$,$v_0 = 6i$,optionB,https://raw.githubusercontent.com/jlohix/Duolingo-for-CA/main/question-bank/kclkvl/kclkvl7.png,"According to the passive sign convention, if the current $i$ enters the negative terminal of the resistor, the voltage drop is $v = -Ri$. Here, $v_0 = -6i$.",2,custom
907-3,9,"Substituting $v_0 = -6i$ into the KVL equation $-12 + 4i + 2v_0 - 4 - v_0 = 0$, what is the resulting single-variable equation?",$-12 + 4i - 12i - 4 + 6i = 0$,$-12 + 4i + 12i - 4 - 6i = 0$,$-12 + 4i + 12i - 4 + 6i = 0$,$-12 + 4i - 12i - 4 - 6i = 0$,optionA,https://raw.githubusercontent.com/jlohix/Duolingo-for-CA/main/question-bank/kclkvl/kclkvl7.png,"Substituting $v_0 = -6i$ into $-12 + 4i + 2v_0 - 4 - v_0 = 0$ yields $-12 + 4i + 2(-6i) - 4 - (-6i) = 0$, which simplifies to $-12 + 4i - 12i - 4 + 6i = 0$.",2,custom
907-4,9,What is the value of the current $i$ based on the simplified equation $-16 - 2i = 0$?,$i = 8A$,$i = -8A$,$i = -16A$,$i = 16A$,optionB,https://raw.githubusercontent.com/jlohix/Duolingo-for-CA/main/question-bank/kclkvl/kclkvl7.png,"From $-16 - 2i = 0$, adding $2i$ to both sides gives $-16 = 2i$, therefore $i = -16/2 = -8A$.",2,custom
907-5,9,"Using the calculated value $i = -8A$, determine the voltage $v_0$.",$v_0 = -48V$,$v_0 = 12V$,$v_0 = -12V$,$v_0 = 48V$,optionD,https://raw.githubusercontent.com/jlohix/Duolingo-for-CA/main/question-bank/kclkvl/kclkvl7.png,"Using the expression $v_0 = -6i$, substitute $i = -8A$: $v_0 = -6(-8) = 48V$.",2,custom
