id,topicid,question,optionA,optionB,optionC,optionD,answer,image,explanation,difficulty,walkthrough_tag
201-1,2,Determine $V_1$ in the below circuit. (Please round answer to 2 decimal places).,28.82 V,20.00 V,26.18 V,35.00 V,optionC,https://raw.githubusercontent.com/jlohix/Duolingo-for-CA/main/question-bank/nmanalysis/nmanalysis1.png,"To solve for $V_1$, we first find the current $I$ in the loop. The total voltage in the loop is $V_{total} = 35V - 20V = 15V$ (since the sources are opposing). The total resistance is $R_{total} = 14\Omega + 20\Omega = 34\Omega$. Thus, $I = 15V / 34\Omega \approx 0.4412 A$. Moving from the negative terminal of the 20V source to the positive terminal of the 35V source, the voltage $V_1$ is $V_1 = 20V + I \times 14\Omega = 20V + (0.4412A \times 14\Omega) = 20V + 6.1768V = 26.1768V$. Rounding to two decimal places, we get $V_1 = 26.18 V$.",2,custom
202-1,2,"For the circuit shown, calculate the value of the voltage $Vx$.",5.14 V,6.00 V,4.28 V,12.00 V,optionA,https://raw.githubusercontent.com/jlohix/Duolingo-for-CA/main/question-bank/nmanalysis/nmanalysis2.png,"Applying KVL around the single loop (clockwise, starting at the 18V source): $18 - I(1) - 2V_x - I(6) - I(2) = 0$, where $V_x=6I$ is the voltage across the $6\ \Omega$ resistor (Ohm's law, same current $I$ flows through it). Substituting $V_x=6I$: $18 - I - 2(6I) - 6I - 2I = 0 \Rightarrow 18 - 21I = 0 \Rightarrow I = \dfrac{18}{21} = \dfrac{6}{7}\text{ A}$. Then $V_x = 6I = 6 \times \dfrac{6}{7} = \dfrac{36}{7} \approx 5.14\text{ V}$.",2,custom
203-1,2,"In the circuit shown, calculate $v_o$ (in volts). Please round your answer to 2 decimal places.",0.00 V,7.20 V,10.80 V,18.00 V,optionA,https://raw.githubusercontent.com/jlohix/Duolingo-for-CA/main/question-bank/nmanalysis/nmanalysis3.png,"Since the terminals for $v_o$ are open (no wire connects the $2\text{k}\Omega$ branch to the $4\text{k}\Omega$ branch), no current flows through either of them. The circuit reduces to two independent voltage dividers sharing the same top node ($V_{top}$, fed by the 18mA source) and the same ground: $10\text{k}\Omega+15\text{k}\Omega$ on the left, and $4\text{k}\Omega+6\text{k}\Omega$ on the right. The left divider's node is $V_{top}\times\dfrac{15}{10+15}=0.6\,V_{top}$, and the right divider's node is $V_{top}\times\dfrac{6}{4+6}=0.6\,V_{top}$ — the exact same ratio. So $v_o=0.6\,V_{top}-0.6\,V_{top}=0.00\text{ V}$, regardless of what $V_{top}$ actually is (it happens to work out to $18\text{mA}\times(25\text{k}\Omega\parallel10\text{k}\Omega)\approx128.57$V, but that value isn't even needed since the ratios cancel).",2,custom
204-1,2,"Based on the provided circuit diagram, determine the values for the branch voltages $v_1$, $v_2$, and $v_3$.","$v_1 = -1\text{ V}, v_2 = -23\text{ V}, v_3 = 9\text{ V}$","$v_1 = 22\text{ V}, v_2 = 14\text{ V}, v_3 = -9\text{ V}$","$v_1 = -22\text{ V}, v_2 = -14\text{ V}, v_3 = 9\text{ V}$","$v_1 = 1\text{ V}, v_2 = 23\text{ V}, v_3 = 9\text{ V}$",optionA,https://raw.githubusercontent.com/jlohix/Duolingo-for-CA/main/question-bank/nmanalysis/nmanalysis4.png,"Let the bottom-left node be the reference (0V). The three sources directly fix every other node voltage: the 22V source sets the top-left node to $22$V; the 14V source (− on the left, + on the right) sets the bottom-right node to $0+14=14$V; the 9V source (+ on top, − on bottom) sets the top-right node (shared by $v_1$'s right end, $v_3$'s top, and the diagonal branch) to $14+9=23$V. Since all node voltages are now known, each resistor's voltage is just the difference between its labeled $+$ and $-$ terminals: $v_1=22-23=-1\text{ V}$, $v_2=0-23=-23\text{ V}$ (using the diagonal branch's $+$ at the bottom-left node and $-$ at the top-right node), and $v_3=23-14=9\text{ V}$.",2,custom
205-1,2,Calculate $V_x$ in the circuit below. (Correct answer is 10),$20\text{ V}$,$10\text{ V}$,$5\text{ V}$,$15\text{ V}$,optionB,https://raw.githubusercontent.com/jlohix/Duolingo-for-CA/main/question-bank/nmanalysis/nmanalysis5.png,"Simplify the right-hand network first: $8\,\Omega \parallel 12\,\Omega = \dfrac{8\times12}{8+12}=4.8\,\Omega$, and $3\,\Omega\parallel6\,\Omega=\dfrac{3\times6}{3+6}=2\,\Omega$. Then $1.2\,\Omega+4.8\,\Omega=6\,\Omega$ and $4\,\Omega+2\,\Omega=6\,\Omega$ are two equal parallel paths to ground from the node after the $1\,\Omega$ resistor, giving $6\,\Omega\parallel6\,\Omega=3\,\Omega$. The circuit now reduces to the 30A source seeing $2\,\Omega$ in parallel with $(1+3)\,\Omega=4\,\Omega$. By current division, the current through the $4\,\Omega$ branch (and hence through the $1\,\Omega$ resistor) is $I=30\times\dfrac{2}{2+4}=10\text{ A}$. Thus $v_x=I\times1\,\Omega=10\text{ V}$.",2,custom
206-1,2,"For the provided circuit with an 18 A current source, find the branch currents $i_1, i_2, i_3,$ and $i_4$.","$i_1 = 6.17 \text{ A}, i_2 = 1.54 \text{ A}, i_3 = 7.71 \text{ A}, i_4 = 2.57 \text{ A}$","$i_1 = 3.60 \text{ A}, i_2 = 14.40 \text{ A}, i_3 = 4.50 \text{ A}, i_4 = 13.50 \text{ A}$","$i_1 = 9.00 \text{ A}, i_2 = 9.00 \text{ A}, i_3 = 10.00 \text{ A}, i_4 = 8.00 \text{ A}$","$i_1 = 1.54 \text{ A}, i_2 = 6.17 \text{ A}, i_3 = 2.57 \text{ A}, i_4 = 7.71 \text{ A}$",optionA,https://raw.githubusercontent.com/jlohix/Duolingo-for-CA/main/question-bank/nmanalysis/nmanalysis6.png,"The circuit consists of two parallel branches connected to an 18 A source. The right side has $200 \,\Omega$ and $50 \,\Omega$ in parallel, with total resistance $R_{right} = (200 \times 50) / (200 + 50) = 40 \,\Omega$. The left side has $120 \,\Omega$ and $40 \,\Omega$ in parallel, with total resistance $R_{left} = (120 \times 40) / (120 + 40) = 30 \,\Omega$. The total source current splits between these two equivalent resistances: $I_{right} = 18 \times (30 / (30 + 40)) \approx 7.71 \text{ A}$ and $I_{left} = 18 \times (40 / (30 + 40)) \approx 10.29 \text{ A}$. Using current division on the right: $i_1 = 7.71 \times (200 / 250) = 6.17 \text{ A}$ and $i_2 = 7.71 \times (50 / 250) = 1.54 \text{ A}$. On the left: $i_3 = 10.29 \times (120 / 160) = 7.71 \text{ A}$ and $i_4 = 10.29 \times (40 / 160) = 2.57 \text{ A}$.",2,custom
207-1,2,"For the given circuit, find the values of $V_o$ and $I_o$.","$V_o = 0 \text{ V}, I_o = 5 \text{ A}$","$V_o = 100 \text{ V}, I_o = 1 \text{ A}$","$V_o = 50 \text{ V}, I_o = 0 \text{ A}$","$V_o = 25 \text{ V}, I_o = 2 \text{ A}$",optionC,https://raw.githubusercontent.com/jlohix/Duolingo-for-CA/main/question-bank/nmanalysis/nmanalysis7.png,"To solve this, first calculate the equivalent resistance of the two branches connected to the 200V source. The left branch has 60 $\Omega$ and 20 $\Omega$ in series, totaling 80 $\Omega$. The right branch has 30 $\Omega$ and 10 $\Omega$ in series, totaling 40 $\Omega$. The voltage $V_o$ is the voltage across the 10 $\Omega$ resistor, which acts as a voltage divider: $V_o = 200 \text{ V} \times (10 \Omega / (30 \Omega + 10 \Omega)) = 200 \times (1/4) = 50 \text{ V}$. Since the middle wire connects the midpoint of the left branch (60 $\Omega$ and 20 $\Omega$ junction, which is at $200 \times 20 / (60+20) = 50 \text{ V}$) to the midpoint of the right branch (30 $\Omega$ and 10 $\Omega$ junction, which is at 50 V), there is no potential difference between the two points. Consequently, $I_o = 0 \text{ A}$.",3,custom
208-1,2,"For the circuit shown, calculate the voltage $v$ and the current $i$. Note that the units are in Siemens (S) for conductance.","$v = 3.81\text{V}, i = 8.19\text{A}$","$v = 5.22\text{V}, i = 6.78\text{A}$","$v = 2.45\text{V}, i = 9.55\text{A}$","$v = 8.19\text{V}, i = 3.81\text{A}$",optionA,https://raw.githubusercontent.com/jlohix/Duolingo-for-CA/main/question-bank/nmanalysis/nmanalysis8.png,"This is solved by nodal analysis (conductances add directly in parallel, so no reciprocals needed). With ground at the bottom rail and nodes $A$ (source node, $v=V_A$), $B$, and $C$: KCL gives $5V_A-4V_B=12$ (node A), $4V_A-14V_B+8V_C=0$ (node B), and $V_B=1.5V_C$ (node C). Solving simultaneously: $V_C\approx1.171\text{ V}$, $V_B\approx1.756\text{ V}$, $V_A\approx3.81\text{ V}$. So $v=V_A\approx3.81\text{ V}$, and $i=4(V_A-V_B)=4(3.81-1.76)\approx8.19\text{ A}$.",3,custom
209-1,2,"For the provided circuit, which of the following represents the correct system of equations derived from KCL at nodes 1 and 2?",$\frac{3}{4}v_1 - \frac{1}{4}v_2 = 5$ and $\frac{1}{4}v_1 - \frac{5}{12}v_2 = -5$,$\frac{1}{4}v_1 - \frac{3}{4}v_2 = 5$ and $\frac{5}{12}v_1 - \frac{1}{4}v_2 = -5$,$\frac{3}{4}v_1 + \frac{1}{4}v_2 = 5$ and $\frac{1}{4}v_1 + \frac{5}{12}v_2 = 5$,$\frac{3}{4}v_1 - \frac{1}{4}v_2 = -5$ and $\frac{1}{4}v_1 - \frac{5}{12}v_2 = 5$,optionA,https://raw.githubusercontent.com/jlohix/Duolingo-for-CA/main/question-bank/nmanalysis/nmanalysis9.png,"Applying KCL at node 1: $5 - \frac{v_1-v_2}{4} - \frac{v_1}{2} = 0$, simplifying to $5 = v_1(\frac{1}{4} + \frac{1}{2}) - \frac{v_2}{4} = \frac{3}{4}v_1 - \frac{1}{4}v_2$. Applying KCL at node 2: $\frac{v_1-v_2}{4} + 10 = 5 + \frac{v_2}{6}$, simplifying to $\frac{v_1}{4} - \frac{v_2}{4} - \frac{v_2}{6} = -5$, which leads to $\frac{1}{4}v_1 - \frac{5}{12}v_2 = -5$.",2,custom
209-2,2,"Using the system of equations from the previous step, calculate the values for $v_1$ and $v_2$.","$v_1 = 20 V, v_2 = 13.33 V$","$v_1 = 13.33 V, v_2 = 20 V$","$v_1 = 10 V, v_2 = 15 V$","$v_1 = 15 V, v_2 = 10 V$",optionB,https://raw.githubusercontent.com/jlohix/Duolingo-for-CA/main/question-bank/nmanalysis/nmanalysis9.png,"Using Cramer's Rule, the determinant $D = (3/4)(-5/12) - (1/4)(-1/4) = -1/4$. $D_1 = (5)(-5/12) - (-5)(-1/4) = -10/3$. $D_2 = (3/4)(-5) - (1/4)(5) = -5$. Thus, $v_1 = D_1/D = (-10/3)/(-1/4) = 40/3 \approx 13.33 V$, and $v_2 = D_2/D = -5 / (-1/4) = 20 V$.",2,custom
