id,topicid,question,optionA,optionB,optionC,optionD,answer,image,explanation,difficulty,walkthrough_tag
201-1,2,"What is the voltage across the capacitor $v_C(0^-)$ just before the switch moves to position B, assuming the circuit has been in position A for a long time?",$24\text{ V}$,$8\text{ V}$,$9\text{ V}$,$15\text{ V}$,optionD,https://raw.githubusercontent.com/jlohix/Duolingo-for-CA/main/question-bank/Transient/Capacitor/CapQn1.jpg,"Since the switch has been in position A for a long time, the capacitor reaches a steady state and acts as an open circuit. We use a voltage divider with the $24\text{ V}$ source, $3\text{ k}\Omega$ resistor, and $5\text{ k}\Omega$ resistor: $v_C(0^-) = 24 \times \left(\frac{5}{3 + 5}\right) = 24 \times \frac{5}{8} = 15\text{ V}$.",2,custom
201-2,2,"Calculate the energy stored in the capacitor $W_C(0^-)$ just before the switch moves to position B, given that $C = 0.5\text{ mF}$.",$0.1125\text{ J}$,$0.0225\text{ J}$,$0.5625\text{ J}$,$0.05625\text{ J}$,optionD,https://raw.githubusercontent.com/jlohix/Duolingo-for-CA/main/question-bank/Transient/Capacitor/CapQn1.jpg,Using the capacitor energy formula $W = \frac{1}{2} C v^2$ with $C = 0.5\text{ mF} = 0.5 \times 10^{-3}\text{ F}$ and $v_C(0^-) = 15\text{ V}$: $W_C(0^-) = \frac{1}{2}(0.5 \times 10^{-3})(15)^2 = \frac{1}{2}(0.5 \times 10^{-3})(225) = 0.05625\text{ J}$.,2,custom
201-3,2,What is the steady-state voltage across the capacitor $v_C(\infty)$ a long time after the switch moves to position B?,$15\text{ V}$,$0\text{ V}$,$24\text{ V}$,$30\text{ V}$,optionD,https://raw.githubusercontent.com/jlohix/Duolingo-for-CA/main/question-bank/Transient/Capacitor/CapQn1.jpg,"After the switch moves to position B, the left side of the circuit is disconnected and the capacitor is connected in series with a $4\text{ k}\Omega$ resistor and a $30\text{ V}$ source. After a long time ($t \to \infty$), the capacitor acts as an open circuit, meaning no current flows ($i = 0$). Therefore, the voltage drop across the resistor is $0\text{ V}$, so the capacitor voltage equals the full source voltage: $v_C(\infty) = 30\text{ V}$.",2,custom
201-4,2,Calculate the energy stored in the capacitor $W_C(\infty)$ at $t = \infty$ after the switch has settled in position B.,$0.450\text{ J}$,$2.25\text{ J}$,$0.1125\text{ J}$,$0.225\text{ J}$,optionD,https://raw.githubusercontent.com/jlohix/Duolingo-for-CA/main/question-bank/Transient/Capacitor/CapQn1.jpg,Using the energy formula $W = \frac{1}{2} C v^2$ with $C = 0.5\text{ mF} = 0.5 \times 10^{-3}\text{ F}$ and $v_C(\infty) = 30\text{ V}$: $W_C(\infty) = \frac{1}{2}(0.5 \times 10^{-3})(30)^2 = \frac{1}{2}(0.5 \times 10^{-3})(900) = 0.225\text{ J}$.,2,custom
202-1,2,"Determine the inductor current $i_L(0^-)$ just before the switch opens by analyzing the long-time DC circuit containing a $40\text{ V}$ source, resistors of $2\ \Omega$, $4\ \Omega$, $12\ \Omega$, $16\ \Omega$, and a $2\text{ H}$ inductor.",$10\text{ A}$,$6\text{ A}$,$4\text{ A}$,$8\text{ A}$,optionB,https://raw.githubusercontent.com/jlohix/Duolingo-for-CA/main/question-bank/Transient/Inductor/indQn1.png,"Since the switch has been closed for a long time, the circuit is at DC steady state. An ideal inductor behaves as a short circuit at DC. The $16\ \Omega$ resistor is bypassed by the inductor ($16\ \Omega \parallel \text{short} = \text{short}$). The equivalent resistance of the $12\ \Omega$ and $4\\Omega$ parallel combination is $12 \parallel 4 = \frac{12 \times 4}{12 + 4} = 3\ \Omega$. The total resistance seen by the $40\text{ V}$ source is $R_{\text{total}} = 2 + 3 = 5\ \Omega$. The source current is $I = \frac{40}{5} = 8\text{ A}$. The voltage across the parallel network is $V = 8 \times 3 = 24\text{ V}$. The current through the $4\ \Omega$ branch leading to the shorted inductor is $I_{4\Omega} = \frac{24}{4} = 6\text{ A}$. Thus, $i_L(0^-) = 6\text{ A}$.",2,custom
202-2,2,"Calculate the initial energy stored in the inductor just before switching using the formula $W_L = \frac{1}{2} L i_L^2$, given $L = 2\text{ H}$ and $i_L(0^-) = 6\text{ A}$.",$18\text{ J}$,$72\text{ J}$,$36\text{ J}$,$24\text{ J}$,optionC,https://raw.githubusercontent.com/jlohix/Duolingo-for-CA/main/question-bank/Transient/Inductor/indQn1.png,"Using the formula for energy stored in an inductor: $W_L = \frac{1}{2} L i_L^2$. Substituting the given values $L = 2\text{ H}$ and $i_L(0^-) = 6\text{ A}$, we get $W_L(0^-) = \frac{1}{2}(2)(6)^2 = 36\text{ J}$.",2,custom
202-3,2,Determine the final inductor current $i_L(\infty)$ after the source has been disconnected for a long time.,$4\text{ A}$,$2\text{ A}$,$6\text{ A}$,$0\text{ A}$,optionD,https://raw.githubusercontent.com/jlohix/Duolingo-for-CA/main/question-bank/Transient/Inductor/indQn1.png,"After the switch opens, the voltage source is disconnected, and the inductor is left connected only to resistors, forming a source-free RL circuit. Its stored magnetic energy is gradually dissipated by the resistors until no current flows. Therefore, $i_L(\infty) = 0\text{ A}$.",2,custom
202-4,2,"Calculate the final energy stored in the inductor at $t = \infty$, given $L = 2\text{ H}$ and $i_L(\infty) = 0\text{ A}$.",$9\text{ J}$,$18\text{ J}$,$36\text{ J}$,$0\text{ J}$,optionD,https://raw.githubusercontent.com/jlohix/Duolingo-for-CA/main/question-bank/Transient/Inductor/indQn1.png,"Using the energy formula $W_L(\infty) = \frac{1}{2} L [i_L(\infty)]^2$. Substituting $L = 2\text{ H}$ and $i_L(\infty) = 0\text{ A}$, we obtain $W_L(\infty) = \frac{1}{2}(2)(0)^2 = 0\text{ J}$.",2,custom
203-1,2,"For $t < 0$, the switch is open. Determine the initial current through the inductor $i_L(0^-)$ and consequently $i_L(0^+)$.",$4.5 \text{ A}$,$6.0 \text{ A}$,$3.0 \text{ A}$,$2.5 \text{ A}$,optionA,https://raw.githubusercontent.com/jlohix/Duolingo-for-CA/main/question-bank/Transient/Indwsource/indwsourceqn1.jpg,"With the switch open at steady state, the inductor acts as a short circuit. The $6\text{A}$ source sees two parallel branches: the $4\Omega$ resistor branch (with the inductor short) and the series combination of $6\Omega + 6\Omega = 12\Omega$. Using the current divider rule, $i_L(0^-) = 6 \times [12 / (4+12)] = 6 \times (12/16) = 4.5 \text{ A}$. By continuity, $i_L(0^+) = i_L(0^-) = 4.5 \text{ A}$.",3,custom
203-2,2,"For $t > 0$, the switch is closed. Calculate the Thevenin equivalent resistance $R_{th}$ seen by the inductor and the resulting time constant $\tau$.","$R_{th} = 10\Omega, \tau = 0.2\text{ s}$","$R_{th} = 6\Omega, \tau = 0.33\text{ s}$","$R_{th} = 8\Omega, \tau = 0.25\text{ s}$","$R_{th} = 12\Omega, \tau = 0.167\text{ s}$",optionD,https://raw.githubusercontent.com/jlohix/Duolingo-for-CA/main/question-bank/Transient/Indwsource/indwsourceqn1.jpg,"With the switch closed, the $3\Omega$ and $6\Omega$ resistors are in parallel ($2\Omega$). Turning off the current source (open circuit), the resistance seen by the $2\text{H}$ inductor is $4\Omega + 2\Omega + 6\Omega = 12\Omega$. The time constant $\tau = L/R_{th} = 2/12 = 1/6 \approx 0.167\text{ s}$.",3,custom
