id,topicid,question,optionA,optionB,optionC,optionD,answer,image,explanation,difficulty
101,1,"Without doing any calculations, determine whether this circuit is inverting or non-inverting? Justify your answer.",Inverting because the output is fed back to the inverting terminal,Non-inverting because Vin is applied to the non-inverting terminal.,"Inverting, because Vout is connected to the inverting terminal through R2.",Non-inverting because R1 is connected to ground.,optionB,https://raw.githubusercontent.com/jlohix/Duoling-for-CA/main/PYP-qn-images/2526_Q1.png,"Vin enters the (+) terminal, so the output changes in the same direction as the input. Hence, it is a non-inverting amplifier. For an ideal op-amp, no input current flows, so there is no voltage drop across Rs, therefore, Rs does not change this conclusion.",1
102,1,"Find the gain of the circuit, Av, which is defined as Vout/Vin",1 + R2/R1,-R2/R1,R2/R1,1 - R2/R1,optionA,https://raw.githubusercontent.com/jlohix/Duoling-for-CA/main/PYP-qn-images/2526_Q1.png,"For a non inverting amplifier, gain = 1 + Rf/Ri where Rf is the feedback resistor connecting the output to the inverting terminal and Ri connects the inverting terminal to ground",1
103,1,Find the equivalent input resistance Rin,Infinite,0,Rs,Rs + R1,optionA,https://raw.githubusercontent.com/jlohix/Duoling-for-CA/main/PYP-qn-images/2526_Q1.png,"For an ideal op-amp, no current enters the non-inverting terminal. R = V/I hence R = V/0 --> infinity",1
104,1,Consider this amplifier circuit with an ideal op amp in figure 2. Determine whether this circuit is inverting or non-inverting.,"Non-inverting, because the (+)  terminal is connected to ground","Non-inverting, because Vout is being fed back through R2","Inverting, because Vin is applied to the (-) terminal through R1",Inverting because Vout is fed back to the (-) terminal,optionC,https://raw.githubusercontent.com/jlohix/Duoling-for-CA/main/PYP-qn-images/2526_Q1b.png,"The input signal is applied to the inverting (-) terminal. Therefore, the output has the opposite polarity to the input.",1
105,1,Find the gain Av in figure 2,1 - R2/R1,1 + R2/R1,R2/R1,-R2/R1,optionD,https://raw.githubusercontent.com/jlohix/Duoling-for-CA/main/PYP-qn-images/2526_Q1b.png,"For an inverting amplifier, gain = - Rf/Ri where Rf is the feedback resistor connecting the output to the inverting terminal and Ri connects the inverting terminal to ground",1
106,1,Find the equivalent input resistance Rin in figure 2,R1,R2,R1+R2,Infinite,optionA,https://raw.githubusercontent.com/jlohix/Duoling-for-CA/main/PYP-qn-images/2526_Q1b.png,"In an ideal op amp, V- = V+ , since V+ is connected to ground, V− =V+ = 0V. Therefore, following current from Vin to 0V, the input source sees R1 only, giving Rin=R1",1
107,1,"Find the gain of the circuit, Av, and express it in terms of gm",\frac{R_{\mathrm{out}}\left(1+g_mR_F\right)}{R_F+R_{\mathrm{out}}},-g_m\left(R_F\parallel R_{\mathrm{out}}\right),\frac{R_F\left(1-g_mR_{\mathrm{out}}\right)}{R_F+R_{\mathrm{out}}},\frac{R_{\mathrm{out}}\left(1-g_mR_F\right)}{R_F+R_{\mathrm{out}}},optionD,https://raw.githubusercontent.com/jlohix/Duoling-for-CA/main/PYP-qn-images/2526_Q1c.png,"At the output node, there are three current paths. Apply KCL at the output node:",1
108,1,Find the equivalent input resistance Rin expressed as a function of Av.,\(\frac{R_1R_F}{R_F+R_1(1+A_v)}\),\(\frac{R_1R_F}{R_F+R_1A_v}\),\(\frac{R_1R_F}{R_F+R_1(1-A_v)}\),\(R_1+\frac{R_F}{1-A_v}\),optionC,https://raw.githubusercontent.com/jlohix/Duoling-for-CA/main/PYP-qn-images/2526_Q1c.png,The input current splits into two paths: through \(R_1\) and through \(R_F\).,1
109,1,"By inspection, state whether this circuit in Figure 2 is having an ""inverting"" or ""non-inverting"" configuration.",Inverting,Non-inverting,Both,None of the above,optionA,https://raw.githubusercontent.com/jlohix/Duoling-for-CA/main/PYP-qn-images/2526S1_Q1b.png,"By inspection of the circuit, the input voltages $V_1$ and $V_2$ are connected through resistors $R_1$ and $R_2$ to the inverting input ($_-$) of the op-amp, while the non-inverting input ($_+$) is connected to ground. Therefore, it has an inverting configuration.",1
110,1,The output voltage $V_O$ can be defined as $V_O = G_1 V_1 + G_2 V_2$. Find $G_1$ and $G_2$ for the circuit in Figure 2.,"$G_1 = -\frac{R_F}{R_1}$, $G_2 = -\frac{R_F}{R_2}$","$G_1 = \frac{R_F}{R_1}$, $G_2 = \frac{R_F}{R_2}$","$G_1 = -\frac{R_1}{R_F}$, $G_2 = -\frac{R_2}{R_F}$","$G_1 = 1 + \frac{R_F}{R_1}$, $G_2 = 1 + \frac{R_F}{R_2}$",optionA,https://raw.githubusercontent.com/jlohix/Duoling-for-CA/main/PYP-qn-images/2526S1_Q1b.png,"Using nodal analysis at the inverting node (let its voltage be $V_-$): Since the op-amp is ideal, $V_- = V_+ = 0\text{ V}$ (virtual ground). Applying Kirchhoff's Current Law (KCL) at the inverting node: $\frac{0 - V_1}{R_1} + \frac{0 - V_2}{R_2} + \frac{0 - V_O}{R_F} = 0$. Multiplying by $-R_F$, we get $V_O = -\left(\frac{R_F}{R_1} V_1 + \frac{R_F}{R_2} V_2\right)$. Thus, $G_1 = -\frac{R_F}{R_1}$ and $G_2 = -\frac{R_F}{R_2}$.


Second method is using superposition. Consider one input source at a time. To analyse the effect of one source, set the other voltage source to zero by replacing it with a short circuit. Determine the voltage gain produced by each source separately, denoted by \(A_{v1}\) and \(A_{v2}\). These individual gains correspond to \(G_1\) and \(G_2\), respectively.",1
111,1,"The circuit in Figure 3 contains an ideal op-amp, which is often referred to as a difference amplifier. The output voltage $V_O$ can be defined as $V_O = G_1 V_1 - G_2 V_2$. Find $G_1$ and $G_2$ using the superposition principle (on $V_1$ and $V_2$).","$G_1 = \frac{R_F}{R_3}$, $G_2 = \frac{R_2}{R_1 + R_2} \left(1 + \frac{R_F}{R_3}\right)$","$G_1 = \frac{R_2}{R_1 + R_2} \left(1 + \frac{R_F}{R_3}\right)$, $G_2 = \frac{R_F}{R_3}$","$G_1 = \frac{R_1}{R_1 + R_2} \left(1 + \frac{R_F}{R_3}\right)$, $G_2 = \frac{R_F}{R_3}$","$G_1 = \frac{R_2}{R_1 + R_2}$, $G_2 = \frac{R_F}{R_3 + R_F}$",optionB,https://raw.githubusercontent.com/jlohix/Duoling-for-CA/main/PYP-qn-images/2526S1_Q1c.png,"To find $G_1$, set $V_2 = 0$ (grounded). The non-inverting terminal voltage is given by the voltage divider: $V_+ = V_1 \frac{R_2}{R_1 + R_2}$. Since it's an ideal op-amp, $V_- = V_+$. Using the inverting amplifier/summing configuration for the output, $V_{O1} = \left(1 + \frac{R_F}{R_3}\right) V_+ = \frac{R_2}{R_1 + R_2} \left(1 + \frac{R_F}{R_3}\right) V_1$, so $G_1 = \frac{R_2}{R_1 + R_2} \left(1 + \frac{R_F}{R_3}\right)$. To find $G_2$, set $V_1 = 0$ (grounded), meaning $V_+ = 0$. The op-amp acts as an inverting amplifier for $V_2$: $V_{O2} = -\frac{R_F}{R_3} V_2$. Given the form $V_O = G_1 V_1 - G_2 V_2$, we get $G_2 = \frac{R_F}{R_3}$.",1
