id,topicid,question,optionA,optionB,optionC,optionD,answer,image,explanation,difficulty,walkthrough_tag
201-1,2,Identify the op-amp configurations for the first and second stages (op-amp 1 and op-amp 2) based on the circuit diagram provided.,"Op-amp 1 is Inverting, Op-amp 2 is Non-inverting",Both are Inverting Amplifiers,Both are Non-inverting Amplifiers,Both are Voltage Followers,optionB,https://raw.githubusercontent.com/jlohix/Duolingo-for-CA/main/question-bank/opamp/oa1.png,"In both op-amp 1 and op-amp 2, the input signal is applied to the inverting input terminal through resistor $R_1$ (and $R_4$), and the non-inverting terminal is connected to ground through $R_3$ (and $R_6$). This is the standard topology for an inverting amplifier.",1,inverting
201-2,2,"Using ideal op-amp assumptions (infinite input impedance, zero input offset voltage), what are the expressions for $v_3$ and $v_4$ in terms of $v_1$ and $v_2$?",$v_3 = -\frac{R_1}{R_2}v_1$ and $v_4 = -\frac{R_4}{R_5}v_2$,$v_3 = (1+\frac{R_2}{R_1})v_1$ and $v_4 = (1+\frac{R_5}{R_4})v_2$,$v_3 = -\frac{R_2}{R_1}v_1$ and $v_4 = -\frac{R_5}{R_4}v_2$,$v_3 = \frac{R_2}{R_1}v_1$ and $v_4 = \frac{R_5}{R_4}v_2$,optionC,https://raw.githubusercontent.com/jlohix/Duolingo-for-CA/main/question-bank/opamp/oa1.png,"For an ideal inverting amplifier, the output is given by the gain $A_v = -\frac{R_f}{R_{in}}$. Here, for op-amp 1, $A_v = -\frac{R_2}{R_1}$, and for op-amp 2, $A_v = -\frac{R_5}{R_4}$. Thus, $v_3 = -\frac{R_2}{R_1}v_1$ and $v_4 = -\frac{R_5}{R_4}v_2$.",2,inverting
201-3,2,"Given $R_1=R_4=10 \text{ k}\Omega$ and $R_2=R_5=20 \text{ k}\Omega$, calculate the values of $v_3$ and $v_4$.",$v_3 = 2v_1$ and $v_4 = 2v_2$,$v_3 = -10v_1$ and $v_4 = -20v_2$,$v_3 = -0.5v_1$ and $v_4 = -0.5v_2$,$v_3 = -2v_1$ and $v_4 = -2v_2$,optionD,https://raw.githubusercontent.com/jlohix/Duolingo-for-CA/main/question-bank/opamp/oa1.png,Using the derived expressions: $v_3 = -(\frac{20 \text{ k}\Omega}{10 \text{ k}\Omega})v_1 = -2v_1$ and $v_4 = -(\frac{20 \text{ k}\Omega}{10 \text{ k}\Omega})v_2 = -2v_2$.,2,inverting
201-4,2,Apply nodal analysis at the inverting input of op-amp 3 to express $v_o$ in terms of $v_3$ and $v_4$.,$v_o = -\frac{R_7}{R_9}v_3 - \frac{R_8}{R_9}v_4$,$v_o = -\frac{R_9}{R_7+R_8}(v_3 + v_4)$,$v_o = -\frac{R_9}{R_7}v_3 - \frac{R_9}{R_8}v_4$,$v_o = \frac{R_9}{R_7}v_3 + \frac{R_9}{R_8}v_4$,optionC,https://raw.githubusercontent.com/jlohix/Duolingo-for-CA/main/question-bank/opamp/oa1.png,Op-amp 3 is a summing amplifier. Summing the currents at the inverting node: $\frac{v_3 - 0}{R_7} + \frac{v_4 - 0}{R_8} + \frac{v_o - 0}{R_9} = 0$. Solving for $v_o$ gives $v_o = -\frac{R_9}{R_7}v_3 - \frac{R_9}{R_8}v_4$.,2,inverting
201-5,2,"Using $R_7=15 \text{ k}\Omega$, $R_8=30 \text{ k}\Omega$, and $R_9=60 \text{ k}\Omega$, calculate $v_o$.",$v_o = -4v_3 - 4v_4$,$v_o = -4v_3 - 2v_4$,$v_o = -2v_3 - 4v_4$,$v_o = -0.25v_3 - 0.5v_4$,optionB,https://raw.githubusercontent.com/jlohix/Duolingo-for-CA/main/question-bank/opamp/oa1.png,Substitute the values into the equation: $v_o = -(\frac{60}{15})v_3 - (\frac{60}{30})v_4 = -4v_3 - 2v_4$.,2,inverting
202-1,2,Analyze the provided operational amplifier circuit and identify its configuration based on the arrangement of components.,Non-Inverting Amplifier,Inverting Amplifier,Differential Amplifier,Voltage Follower,optionB,https://raw.githubusercontent.com/jlohix/Duolingo-for-CA/main/question-bank/opamp/oa2.png,"To identify the configuration, observe the following: 1. The input signal $V_{IN}$ is connected to the inverting terminal ($-$) through resistor $R_1$. 2. The non-inverting terminal ($+$) is connected to ground. 3. There is a feedback resistor $R_2$ connected from the output back to the inverting input. Because the input is applied to the inverting terminal and the non-inverting terminal is at a fixed reference potential (ground), this is a classic Inverting Amplifier configuration.",1,inverting
203-1,2,Observe the provided circuit diagram. What is the standard configuration of the op-amp shown?,Non-inverting amplifier,Voltage follower (Buffer),Differential amplifier,Inverting amplifier,optionA,https://raw.githubusercontent.com/jlohix/Duolingo-for-CA/main/question-bank/opamp/oa3.png,"To identify the configuration, look at where the input signal $V_{IN}$ is applied. In this circuit, $V_{IN}$ is applied to the non-inverting terminal ($+$). The feedback network consists of a voltage divider ($R_1$ and $R_2$) connected to the inverting terminal ($-$). Since the input is applied directly to the non-inverting input, this is a standard non-inverting amplifier configuration, which has a gain of $A_v = 1 + \frac{R_2}{R_1}$.",1,noninv
204-1,2,Identify the type of op-amp configuration shown in the provided circuit diagram.,Inverting Amplifier,Voltage Follower,Differential Amplifier,Non-Inverting Amplifier,optionD,https://raw.githubusercontent.com/jlohix/Duolingo-for-CA/main/question-bank/opamp/oa4.png,"The input signal $v_i$ is applied directly to the non-inverting terminal (+) of the op-amp, and the feedback network is connected to the inverting terminal (-). This is the standard configuration of a non-inverting amplifier.",1,noninv
204-2,2,What are the ideal op-amp assumptions regarding the input voltages and currents at the terminals?,$v_+ = v_-$ and $i_+ = i_- = V_{cc}$,$v_+ = v_- = 0$ and $i_+ = i_- = 0$,$v_+ = -v_-$ and $i_+ = i_- = \infty$,$v_+ = v_-$ and $i_+ = i_- = 0$,optionD,https://raw.githubusercontent.com/jlohix/Duolingo-for-CA/main/question-bank/opamp/oa4.png,"For an ideal op-amp, the open-loop gain is infinite, forcing the differential input voltage to be zero ($v_+ = v_-$). Additionally, the input impedance is infinite, meaning no current flows into the terminals ($i_+ = i_- = 0$).",1,noninv
204-3,2,Which of the following expressions correctly represents the output voltage $v_o$ in terms of the input voltage $v_i$ and the resistors $R_1$ and $R_2$?,$v_o = v_i(R_1/(R_1 + R_2))$,$v_o = v_i(1 + R_2/R_1)$,$v_o = v_i(1 - R_2/R_1)$,$v_o = v_i(R_2/R_1)$,optionB,https://raw.githubusercontent.com/jlohix/Duolingo-for-CA/main/question-bank/opamp/oa4.png,"For a non-inverting amplifier, the voltage at the inverting terminal is determined by the voltage divider $v_- = v_o \cdot [R_1 / (R_1 + R_2)]$. Since $v_- = v_+ = v_i$, we solve for $v_o$: $v_i = v_o \cdot [R_1 / (R_1 + R_2)] \Rightarrow v_o = v_i(1 + R_2/R_1)$.",2,noninv
204-4,2,"Given $R_1 = 2.2\text{ k}\Omega$ and $R_2 = 8.2\text{ k}\Omega$, calculate the numerical value of the closed-loop gain $A_v = v_o/v_i$.",0.27,3.73,5.73,4.73,optionD,https://raw.githubusercontent.com/jlohix/Duolingo-for-CA/main/question-bank/opamp/oa4.png,"The gain is given by $A_v = 1 + R_2/R_1 = 1 + (8.2/2.2) = 1 + 3.7272... \approx 4.7272$. Rounding to two decimal places, we get 4.73.",2,noninv
204-5,2,"Given $v_i = 0.5\text{ V}$, $R_1 = 2.2\text{ k}\Omega$, and $R_2 = 8.2\text{ k}\Omega$, compute the final output voltage $v_o$.",2.36 V,3.36 V,2.86 V,1.86 V,optionA,https://raw.githubusercontent.com/jlohix/Duolingo-for-CA/main/question-bank/opamp/oa4.png,"Using the formula $v_o = v_i(1 + R_2/R_1)$, we have $v_o = 0.5 \cdot (1 + 8.2/2.2) = 0.5 \cdot 4.7272... \approx 2.3636\text{ V}$. Rounding to two decimal places, we get $v_o \approx 2.36\text{ V}$.",2,noninv
205-1,2,"For the first stage non-inverting amplifier with input $v_x = -30\text{ mV}$, $R_1 = 33\text{ k}\Omega$, and $R_2 = 82\text{ k}\Omega$, what is the gain $A_1$ and the output voltage $v_1$?","$A_1 \approx 4.48$, $v_1 = -0.1345\text{ V}$","$A_1 \approx 3.48$, $v_1 = -0.1045\text{ V}$","$A_1 \approx 1.48$, $v_1 = -0.0445\text{ V}$","$A_1 \approx 2.48$, $v_1 = -0.0745\text{ V}$",optionB,https://raw.githubusercontent.com/jlohix/Duolingo-for-CA/main/question-bank/opamp/oa5.png,The gain of a non-inverting amplifier is $A_1 = 1 + R_2/R_1 = 1 + 82/33 \approx 1 + 2.4848 = 3.4848$. The output voltage is $v_1 = A_1 \cdot v_x = 3.4848 \cdot (-0.030\text{ V}) = -0.1045\text{ V}$.,2,noninv
205-2,2,"The second stage is an inverting summing amplifier with inputs $v_y = 0.9\text{ V}$ and $v_1 = -0.1045\text{ V}$. Given $R_4 = 4.7\text{ k}\Omega$, $R_3 = 15\text{ k}\Omega$, and feedback resistor $R_5 = 82\text{ k}\Omega$, what is the output $v_2$?",$v_2 = -(R_5/R_4 \cdot v_y + R_5/R_3 \cdot v_1) = -13.55\text{ V}$,$v_2 = -(-R_5/R_4 \cdot v_y - R_5/R_3 \cdot v_1) = -16.29\text{ V}$,$v_2 = -(R_5/R_4 \cdot v_y + R_5/R_3 \cdot v_1) = -14.28\text{ V}$,$v_2 = -(R_5/R_4 \cdot v_y + R_5/R_3 \cdot v_1) = -15.13\text{ V}$,optionD,https://raw.githubusercontent.com/jlohix/Duolingo-for-CA/main/question-bank/opamp/oa5.png,"For an inverting summing amplifier, $v_2 = -(R_5/R_4 \cdot v_y + R_5/R_3 \cdot v_1)$. Substituting values: $v_2 = -(82/4.7 \cdot 0.9 + 82/15 \cdot (-0.1045)) = -(17.4468 \cdot 0.9 - 5.4666 \cdot 0.1045) = -(15.702 - 0.571) = -15.131\text{ V}$.",3,noninv
205-3,2,"The final stage is an inverting summing amplifier with inputs $v_2 = -15.13\text{ V}$ and $v_z = -3\text{ V}$. Given $R_6 = 5.6\text{ k}\Omega$, $R_7 = 4.7\text{ k}\Omega$, and feedback resistor $R_8 = 5.6\text{ k}\Omega$, what is the final output $v_o$?",$v_o = -18.7\text{ V}$,$v_o = 18.7\text{ V}$,$v_o = 12.3\text{ V}$,$v_o = 15.1\text{ V}$,optionB,https://raw.githubusercontent.com/jlohix/Duolingo-for-CA/main/question-bank/opamp/oa5.png,The final output is $v_o = -(R_8/R_6 \cdot v_2 + R_8/R_7 \cdot v_z)$. Substituting values: $v_o = -(5.6/5.6 \cdot (-15.13) + 5.6/4.7 \cdot (-3)) = -(-15.13 - 1.1915 \cdot 3) = -(-15.13 - 3.5745) = 18.7045\text{ V} \approx 18.7\text{ V}$.,3,noninv
